"","",""
"Abies","fir","TN(Carter, Sevier)"
"Bromus secalinus","rye brome","TN(Benton, Blount, Carroll, Cheatham, Davidson, Dickson, Fayette, Gibson, Grundy, Haywood, Knox, Lawrence, Maury, Morgan, Perry, Polk, Rutherford, Sevier, Shelby)"
"Bromus secalinus var. secalinus","rye brome","TN(Benton, Blount, Carroll, Cheatham, Davidson, Dickson, Fayette, Gibson, Grundy, Haywood, Knox, Lawrence, Maury, Morgan, Perry, Polk, Rutherford, Sevier, Shelby)"
"Bromus sterilis","poverty brome","TN(Blount, Bradley, Cheatham, Davidson, DeKalb, Decatur, Hamilton, Hardin, Haywood, Hickman, Knox, Lawrence, Marion, Maury, Putnam, Rhea, Rutherford, Sumner, Wilson)"
"Bromus tectorum","cheatgrass","TN(Bedford, Blount, Campbell, Cannon, Carroll, Cheatham, Cumberland, Davidson, Decatur, Dickson, Gibson, Grainger, Hardin, Haywood, Hickman, Houston, Humphreys, Jefferson, Knox, Lauderdale, Lawrence, Lincoln, Loudon, Madison, Marshall, Maury, McNairy, Montgomery, Morgan, Overton, Perry, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Smith, Stewart, Sumner, Trousdale, Unicoi, Warren, White, Williamson, Wilson)"
"Broussonetia","broussonetia","TN(Davidson, Decatur, Fayette, Hamblen, Hardin, Knox, Lauderdale, Montgomery, Obion, Rhea, Stewart, Union, Wilson)"
"Broussonetia papyrifera","paper mulberry","TN(Davidson, Decatur, Fayette, Hamblen, Hardin, Knox, Lauderdale, Montgomery, Obion, Rhea, Stewart, Union, Wilson)"
"Brunnichia","buckwheat vine","TN(Benton, Carroll, Chester, Crockett, Decatur, Dyer, Fayette, Gibson, Hardeman, Hardin, Haywood, Henderson, Henry, Houston, Humphreys, Lake, Lauderdale, Madison, McNairy, Obion, Shelby, Stewart, Tipton, Wayne, Weakley)"
"Brunnichia ovata","American buckwheat vine","TN(Benton, Carroll, Chester, Crockett, Decatur, Dyer, Fayette, Gibson, Hardeman, Hardin, Haywood, Henderson, Henry, Houston, Humphreys, Lake, Lauderdale, Madison, McNairy, Obion, Shelby, Stewart, Tipton, Wayne, Weakley)"
"Buchnera","bluehearts","TN(Coffee, Cumberland, Dickson, Fentress, Hardin, Hickman, Lewis, McNairy, Montgomery, Morgan, Rhea, Roane, Stewart, Van Buren, Warren, Wayne)"
"Buchnera americana","American bluehearts","TN(Coffee, Cumberland, Dickson, Fentress, Hardin, Hickman, Lewis, McNairy, Montgomery, Morgan, Rhea, Roane, Stewart, Van Buren, Warren, Wayne)"
"Buckleya","buckleya","TN(Carter, Cocke, Greene, Sullivan, Unicoi, Washington)"
"Buckleya distichophylla","piratebush","TN(Carter, Cocke, Greene, Sullivan, Unicoi, Washington)"
"Buddleja","butterflybush","TN(Cumberland, Knox, Washington)"
"Buddleja davidii","orange eye butterflybush","TN(Cumberland, Knox, Washington)"
"Buglossoides","buglossoides","TN(Anderson, Bedford, Bledsoe, Blount, Cannon, Carter, Cheatham, Davidson, DeKalb, Dickson, Franklin, Giles, Grainger, Hamblen, Hardeman, Hawkins, Haywood, Henry, Hickman, Jackson, Knox, Lauderdale, Lawrence, Lincoln, Loudon, Marion, Marshall, Maury, Montgomery, Roane, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sumner, Trousdale, Warren, Williamson, Wilson)"
"Buglossoides arvensis","corn gromwell","TN(Anderson, Bedford, Bledsoe, Blount, Cannon, Carter, Cheatham, Davidson, DeKalb, Dickson, Franklin, Giles, Grainger, Hamblen, Hardeman, Hawkins, Haywood, Henry, Hickman, Jackson, Knox, Lauderdale, Lawrence, Lincoln, Loudon, Marion, Marshall, Maury, Montgomery, Roane, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sumner, Trousdale, Warren, Williamson, Wilson)"
"Bulbostylis","hairsedge","TN(Blount, Cocke, Coffee, Cumberland, Davidson, Fayette, Franklin, Hardin, Knox, Marion, McMinn, Monroe, Polk, Rhea, Sequatchie, Sevier, Smith, Stewart, Unicoi, Wayne, White)"
"Bulbostylis barbata","watergrass","TN(Knox)"
"Bulbostylis capillaris","densetuft hairsedge","TN(Blount, Cocke, Coffee, Cumberland, Davidson, Franklin, Hardin, Marion, McMinn, Monroe, Polk, Rhea, Sequatchie, Sevier, Smith, Stewart, Unicoi, Wayne, White)"
"Bulbostylis capillaris ssp. capillaris","densetuft hairsedge","TN(Blount, Cocke, Coffee, Cumberland, Davidson, Franklin, Hardin, Marion, McMinn, Monroe, Polk, Rhea, Sequatchie, Sevier, Smith, Stewart, Unicoi, Wayne, White)"
"Bulbostylis ciliatifolia","capillary hairsedge","TN(Fayette)"
"Bulbostylis ciliatifolia var. coarctata","capillary hairsedge","TN(Fayette)"
"Bupleurum","bupleurum","TN(Bedford, Cocke, Davidson, Hawkins, Knox, Marshall, Maury, Rutherford, Washington, Wilson)"
"Bupleurum rotundifolium","hare's ear","TN(Bedford, Cocke, Davidson, Hawkins, Knox, Marshall, Maury, Rutherford, Washington, Wilson)"
"Buxus","boxwood","TN(Sevier)"
"Buxus sempervirens","common box","TN(Sevier)"
"Cabomba","fanwort","TN(Haywood, Lake, Obion, Weakley)"
"Cabomba caroliniana","Carolina fanwort","TN(Haywood, Lake, Obion, Weakley)"
"Cabomba caroliniana var. caroliniana","Carolina fanwort","TN(Haywood, Lake, Obion, Weakley)"
"Calamagrostis","reedgrass","TN(Bledsoe, Blount, Carter, Claiborne, Coffee, Cumberland, Fentress, Franklin, Greene, Grundy, Hamilton, Lincoln, Marion, Montgomery, Morgan, Polk, Putnam, Robertson, Sevier, Unicoi, Van Buren, Warren)"
"Calamagrostis cainii","Cain's reedgrass","TN(Sevier)"
"Calamagrostis canadensis","bluejoint","TN(Carter, Unicoi)"
"Calamagrostis canadensis var. canadensis","bluejoint","TN(Carter, Unicoi)"
"Calamagrostis coarctata","Nuttall's reedgrass","TN(Bledsoe, Blount, Coffee, Cumberland, Fentress, Franklin, Greene, Grundy, Hamilton, Lincoln, Marion, Montgomery, Morgan, Polk, Putnam, Robertson, Sevier, Van Buren, Warren)"
"Calamagrostis porteri","Porter's reedgrass","TN(Claiborne, Marion, Polk)"
"Calamagrostis porteri ssp. insperata","Porter's reedgrass","TN(Claiborne, Marion, Polk)"
"Calamintha","calamint","TN(Anderson, Blount, Bradley, Cannon, Claiborne, Coffee, Cumberland, Davidson, DeKalb, Giles, Grainger, Hamblen, Hamilton, Hawkins, Knox, Marion, Maury, Montgomery, Roane, Rutherford, Smith, Sumner, Union, Warren, Washington, White, Williamson, Wilson)"
"Calamintha nepeta","lesser calamint","TN(Anderson, Blount, Bradley, Cannon, Claiborne, Coffee, Cumberland, Davidson, DeKalb, Giles, Grainger, Hamblen, Hamilton, Hawkins, Knox, Marion, Maury, Montgomery, Roane, Rutherford, Smith, Sumner, Union, Warren, Washington, White, Williamson, Wilson)"
"Calamovilfa","sandreed","TN(Cumberland, Morgan)"
"Calamovilfa arcuata","Cumberland sandreed","TN(Cumberland, Morgan)"
"Callicarpa","beautyberry","TN(Benton, Bledsoe, Blount, Coffee, Decatur, Dyer, Franklin, Giles, Grundy, Hamilton, Hardeman, Hardin, Haywood, Knox, Lauderdale, Lawrence, Lincoln, Loudon, Madison, Marion, Marshall, McNairy, Monroe, Rhea, Rutherford, Sevier, Shelby, Tipton, Van Buren, Warren, Wayne, White)"
"Callicarpa americana","American beautyberry","TN(Benton, Bledsoe, Blount, Coffee, Decatur, Dyer, Franklin, Giles, Grundy, Hamilton, Hardeman, Hardin, Haywood, Knox, Lauderdale, Lawrence, Lincoln, Loudon, Madison, Marion, Marshall, McNairy, Monroe, Rhea, Rutherford, Sevier, Shelby, Tipton, Van Buren, Warren, Wayne, White)"
"Callicarpa dichotoma","purple beautyberry","TN(Knox)"
"Callirhoe","poppymallow","TN(Davidson, Williamson)"
"Callirhoe alcaeoides","light poppymallow","TN(Davidson, Williamson)"
"Callitriche","water-starwort","TN(Benton, Bledsoe, Blount, Carroll, Carter, Cheatham, Coffee, Cumberland, Davidson, Dyer, Fayette, Franklin, Gibson, Hardin, Haywood, Henry, Hickman, Humphreys, Johnson, Knox, Lawrence, Lincoln, Loudon, Macon, Madison, Marion, Maury, McNairy, Montgomery, Morgan, Obion, Overton, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Shelby, Stewart, Sumner, Tipton, Warren, Wayne, Weakley)"
"Callitriche heterophylla","twoheaded water-starwort","TN(Benton, Bledsoe, Blount, Carroll, Carter, Coffee, Cumberland, Davidson, Dyer, Franklin, Gibson, Hardin, Henry, Hickman, Johnson, Knox, Lawrence, Lincoln, Loudon, Madison, Maury, McNairy, Montgomery, Morgan, Obion, Overton, Polk, Rhea, Roane, Robertson, Rutherford, Scott, Shelby, Stewart, Sumner, Warren, Wayne)"
"Callitriche heterophylla ssp. heterophylla","twoheaded water-starwort","TN(Benton, Bledsoe, Blount, Carroll, Carter, Coffee, Cumberland, Davidson, Dyer, Franklin, Gibson, Hardin, Henry, Hickman, Johnson, Knox, Lawrence, Lincoln, Loudon, Madison, Maury, McNairy, Montgomery, Morgan, Obion, Overton, Polk, Rhea, Roane, Robertson, Rutherford, Scott, Shelby, Stewart, Sumner, Warren, Wayne)"
"Callitriche pedunculosa","Nuttall's water-starwort","TN(Cheatham, Humphreys, Putnam)"
"Callitriche peploides","matted water-starwort","TN(Polk)"
"Callitriche stagnalis","pond water-starwort","TN(Franklin)"
"Callitriche terrestris","terrestrial water-starwort","TN(Carroll, Coffee, Davidson, Fayette, Gibson, Haywood, Henry, Macon, Madison, Marion, Montgomery, Roane, Stewart, Tipton, Weakley)"
"Calopogon","grasspink","TN(Bledsoe, Blount, Cocke, Coffee, Cumberland, Fentress, Franklin, Grundy, Johnson, Knox, Lewis, Monroe, Polk, Sevier, Van Buren, Warren)"
"Calopogon tuberosus","tuberous grasspink","TN(Bledsoe, Blount, Cocke, Coffee, Cumberland, Fentress, Franklin, Grundy, Johnson, Knox, Lewis, Monroe, Polk, Sevier, Van Buren, Warren)"
"Calopogon tuberosus var. tuberosus","tuberous grasspink","TN(Bledsoe, Blount, Cocke, Coffee, Cumberland, Fentress, Franklin, Grundy, Johnson, Knox, Lewis, Monroe, Polk, Sevier, Van Buren, Warren)"
"Caltha","marsh marigold","TN(Carter, Greene, Johnson)"
"Caltha palustris","yellow marsh marigold","TN(Carter, Greene, Johnson)"
"Caltha palustris var. palustris","yellow marsh marigold","TN(Carter, Greene, Johnson)"
"Calycanthus","sweetshrub","TN(Anderson, Bledsoe, Blount, Bradley, Claiborne, Cocke, Coffee, Cumberland, DeKalb, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardin, Hickman, Johnson, Knox, Marion, McMinn, Meigs, Monroe, Montgomery, Morgan, Polk, Rhea, Roane, Scott, Sequatchie, Sevier, Sumner, Unicoi, Van Buren, Warren, Washington, White)"
"Calycanthus floridus","eastern sweetshrub","TN(Anderson, Bledsoe, Blount, Bradley, Claiborne, Cocke, Coffee, Cumberland, DeKalb, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardin, Hickman, Johnson, Knox, Marion, McMinn, Meigs, Monroe, Montgomery, Morgan, Polk, Rhea, Roane, Scott, Sequatchie, Sevier, Sumner, Unicoi, Van Buren, Warren, Washington, White)"
"Calycanthus floridus var. floridus","eastern sweetshrub","TN(Bledsoe, Blount, Bradley, Coffee, Cumberland, DeKalb, Franklin, Grundy, Hamilton, Hardin, Hickman, Knox, Marion, Meigs, Monroe, Montgomery, Morgan, Polk, Rhea, Roane, Scott, Sequatchie, Sevier, Sumner, Van Buren, Warren, White)"
"Calycanthus floridus var. glaucus","eastern sweetshrub","TN(Anderson, Blount, Claiborne, Cocke, Cumberland, Fentress, Grainger, Grundy, Johnson, Knox, Marion, McMinn, Monroe, Morgan, Polk, Roane, Scott, Sevier, Unicoi, Van Buren, Washington)"
"Calycocarpum","calycocarpum","TN(Cheatham, Clay, Crockett, Davidson, DeKalb, Dickson, Grundy, Hamilton, Henderson, Hickman, Houston, Humphreys, Jackson, Lauderdale, Lawrence, Marion, Montgomery, Obion, Pickett, Putnam, Rutherford, Shelby, Smith, Stewart, Tipton, Wayne, White, Williamson)"
"Calycocarpum lyonii","cupseed","TN(Cheatham, Clay, Crockett, Davidson, DeKalb, Dickson, Grundy, Hamilton, Henderson, Hickman, Houston, Humphreys, Jackson, Lauderdale, Lawrence, Marion, Montgomery, Obion, Pickett, Putnam, Rutherford, Shelby, Smith, Stewart, Tipton, Wayne, White, Williamson)"
"Calystegia","false bindweed","TN(Anderson, Bledsoe, Blount, Bradley, Campbell, Carroll, Cheatham, Clay, Davidson, Decatur, Dickson, Fentress, Franklin, Giles, Grainger, Grundy, Hamblen, Hamilton, Hardeman, Hardin, Hickman, Houston, Jackson, Johnson, Knox, Lake, Lewis, Loudon, Madison, Marion, Maury, McNairy, Meigs, Monroe, Montgomery, Morgan, Obion, Perry, Rhea, Roane, Rutherford, Scott, Sequatchie, Sevier, Stewart, Sumner, Unicoi, Van Buren, Washington, Williamson)"
"Calystegia hederacea","Japanese false bindweed","TN(Washington)"
"Calystegia sepium","hedge false bindweed","TN(Anderson, Blount, Carroll, Cheatham, Davidson, Dickson, Giles, Hamblen, Hardin, Houston, Jackson, Johnson, Knox, Lake, Lewis, Loudon, Madison, Marion, Maury, McNairy, Meigs, Montgomery, Morgan, Obion, Perry, Rhea, Roane, Rutherford, Sevier, Stewart, Sumner, Unicoi, Van Buren, Williamson)"
"Calystegia spithamaea","low false bindweed","TN(Anderson, Bledsoe, Blount, Bradley, Campbell, Clay, Decatur, Dickson, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardeman, Hardin, Hickman, Knox, Lewis, Marion, Monroe, Morgan, Scott, Sequatchie, Sevier, Van Buren)"
"Calystegia spithamaea ssp. spithamaea","low false bindweed","TN(Anderson, Bledsoe, Blount, Bradley, Campbell, Clay, Decatur, Dickson, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardeman, Hardin, Hickman, Knox, Lewis, Marion, Monroe, Morgan, Scott, Sequatchie, Sevier, Van Buren)"
"Camassia","camas","TN(Cheatham, Clay, Coffee, Cumberland, Davidson, Dickson, Franklin, Grundy, Hickman, Houston, Jackson, Knox, Lawrence, Macon, Marshall, Montgomery, Moore, Putnam, Roane, Rutherford, Smith, Stewart, Sullivan, Sumner, Trousdale, Van Buren, Williamson, Wilson)"
"Camassia scilloides","Atlantic camas","TN(Cheatham, Clay, Coffee, Cumberland, Davidson, Dickson, Franklin, Grundy, Hickman, Houston, Jackson, Knox, Lawrence, Macon, Marshall, Montgomery, Moore, Putnam, Roane, Rutherford, Smith, Stewart, Sullivan, Sumner, Trousdale, Van Buren, Williamson, Wilson)"
"Camelina","false flax","TN(Benton, Cheatham, Davidson, Hamblen, Knox, Madison, Marshall, Maury, Rutherford, Shelby, Unicoi, Williamson)"
"Camelina microcarpa","littlepod false flax","TN(Benton, Cheatham, Davidson, Hamblen, Knox, Madison, Marshall, Maury, Rutherford, Shelby, Unicoi, Williamson)"
"Campanula","bellflower","TN(Anderson, Blount, Campbell, Carter, Cocke, Coffee, Cumberland, Davidson, Fentress, Grainger, Greene, Hamilton, Hawkins, Jefferson, Johnson, Knox, Marion, McMinn, Monroe, Morgan, Polk, Putnam, Rhea, Roane, Scott, Sevier, Sullivan, Unicoi, Union, Van Buren, White)"
"Campanula aparinoides","marsh bellflower","TN(Blount, Carter, Coffee, Cumberland, Fentress, Greene, Johnson, Unicoi)"
"Campanula divaricata","small bonny bellflower","TN(Anderson, Blount, Campbell, Carter, Cocke, Cumberland, Fentress, Grainger, Greene, Hamilton, Hawkins, Jefferson, Johnson, Knox, Marion, McMinn, Monroe, Morgan, Polk, Putnam, Rhea, Roane, Scott, Sevier, Sullivan, Unicoi, Union, Van Buren, White)"
"Campanula rapunculoides","rampion bellflower","TN(Davidson, Knox)"
"Campanulastrum","bellflower","TN(Anderson, Blount, Campbell, Carter, Cheatham, Clay, Cocke, Cumberland, Davidson, Dyer, Fentress, Franklin, Giles, Grainger, Grundy, Hancock, Hardin, Hawkins, Hickman, Houston, Jackson, Jefferson, Johnson, Knox, Lake, Lewis, Marion, Marshall, McMinn, McNairy, Monroe, Montgomery, Obion, Overton, Perry, Pickett, Polk, Roane, Rutherford, Scott, Sevier, Shelby, Smith, Stewart, Sumner, Tipton, Trousdale, Unicoi, Union, Van Buren, Warren, Washington, Wayne, White, Williamson, Wilson)"
"Campanulastrum americanum","American bellflower","TN(Anderson, Blount, Campbell, Carter, Cheatham, Clay, Cocke, Cumberland, Davidson, Dyer, Fentress, Franklin, Giles, Grainger, Grundy, Hancock, Hardin, Hawkins, Hickman, Houston, Jackson, Jefferson, Johnson, Knox, Lake, Lewis, Marion, Marshall, McMinn, McNairy, Monroe, Montgomery, Obion, Overton, Perry, Pickett, Polk, Roane, Rutherford, Scott, Sevier, Shelby, Smith, Stewart, Sumner, Tipton, Trousdale, Unicoi, Union, Van Buren, Warren, Washington, Wayne, White, Williamson, Wilson)"
"Campsis","campsis","TN(Anderson, Blount, Campbell, Carter, Cheatham, Clay, Coffee, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Hardin, Hawkins, Henry, Houston, Humphreys, Jefferson, Knox, Lake, Loudon, Marion, Marshall, Maury, McMinn, Montgomery, Overton, Rhea, Roane, Rutherford, Scott, Sevier, Shelby, Smith, Stewart, Sumner, Tipton, Trousdale, Union, Williamson, Wilson)"
"Campsis radicans","trumpet creeper","TN(Anderson, Blount, Campbell, Carter, Cheatham, Clay, Coffee, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Hardin, Hawkins, Henry, Houston, Humphreys, Jefferson, Knox, Lake, Loudon, Marion, Marshall, Maury, McMinn, Montgomery, Overton, Rhea, Roane, Rutherford, Scott, Sevier, Shelby, Smith, Stewart, Sumner, Tipton, Trousdale, Union, Williamson, Wilson)"
"Cannabis","hemp","TN(Anderson, Cheatham, Cocke, Knox, Madison, Montgomery, Shelby)"
"Cannabis sativa","marijuana","TN(Anderson, Cheatham, Cocke, Knox, Madison, Montgomery, Shelby)"
"Cannabis sativa ssp. sativa","marijuana","TN(Anderson, Cheatham, Cocke, Knox, Madison, Montgomery, Shelby)"
"Cannabis sativa ssp. sativa var. sativa","marijuana","TN(Anderson, Cheatham, Cocke, Knox, Madison, Montgomery, Shelby)"
"Capsella","capsella","TN(Anderson, Bledsoe, Blount, Cannon, Carter, Cheatham, Cocke, Coffee, Davidson, Fayette, Franklin, Gibson, Giles, Grainger, Hardin, Hawkins, Haywood, Henry, Hickman, Houston, Jackson, Jefferson, Knox, Lauderdale, Lincoln, Loudon, Maury, McMinn, Monroe, Montgomery, Obion, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Weakley, Williamson, Wilson)"
"Capsella bursa-pastoris","shepherd's purse","TN(Anderson, Bledsoe, Blount, Cannon, Carter, Cheatham, Cocke, Coffee, Davidson, Fayette, Franklin, Gibson, Giles, Grainger, Hardin, Hawkins, Haywood, Henry, Hickman, Houston, Jackson, Jefferson, Knox, Lauderdale, Lincoln, Loudon, Maury, McMinn, Monroe, Montgomery, Obion, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Weakley, Williamson, Wilson)"
"Cardamine","bittercress","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Crockett, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hancock, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lake, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Madison, Marion, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Morgan, Obion, Overton, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Washington, Wayne, Weakley, White, Williamson, Wilson)"
"Cardamine angustata","slender toothwort","TN(Anderson, Blount, Campbell, Cannon, Cheatham, Coffee, Davidson, Dickson, Franklin, Giles, Grainger, Greene, Grundy, Henderson, Hickman, Houston, Humphreys, Jackson, Jefferson, Knox, Lawrence, Lewis, Marion, Montgomery, Morgan, Overton, Putnam, Roane, Robertson, Scott, Stewart, Sumner, Union, Wayne, White, Williamson)"
"Cardamine bulbosa","bulbous bittercress","TN(Anderson, Benton, Blount, Campbell, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Davidson, DeKalb, Dickson, Fayette, Franklin, Gibson, Giles, Greene, Hamilton, Hardeman, Hardin, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Johnson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Macon, Madison, Marion, Maury, McMinn, McNairy, Meigs, Montgomery, Obion, Overton, Perry, Robertson, Rutherford, Scott, Shelby, Stewart, Sullivan, Sumner, Tipton, Weakley, Williamson)"
"Cardamine clematitis","small mountain bittercress","TN(Carter, Johnson, Sevier)"
"Cardamine concatenata","cutleaf toothwort","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Campbell, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Cumberland, Davidson, Decatur, Dickson, Dyer, Franklin, Giles, Grainger, Grundy, Hamblen, Hardeman, Hardin, Hawkins, Henderson, Henry, Houston, Humphreys, Jackson, Jefferson, Knox, Lauderdale, Lawrence, Lincoln, Loudon, Marion, Maury, Monroe, Montgomery, Morgan, Obion, Overton, Polk, Putnam, Roane, Rutherford, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Van Buren, Wayne, White, Williamson, Wilson)"
"Cardamine diphylla","crinkleroot","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Cannon, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fentress, Franklin, Grainger, Greene, Grundy, Hamblen, Hamilton, Hancock, Hardin, Hickman, Houston, Jackson, Knox, Lewis, Lincoln, Macon, Marion, Maury, Monroe, Montgomery, Morgan, Overton, Pickett, Polk, Putnam, Roane, Robertson, Rutherford, Scott, Sevier, Smith, Stewart, Sullivan, Sumner, Unicoi, Union, Van Buren, Wayne, White, Williamson)"
"Cardamine dissecta","forkleaf toothwort","TN(Cheatham, Claiborne, Clay, Coffee, Cumberland, Davidson, DeKalb, Franklin, Hamilton, Hickman, Jackson, Macon, Marion, Montgomery, Overton, Pickett, Polk, Putnam, Robertson, Smith, Sumner, Union, Warren, Williamson, Wilson)"
"Cardamine douglassii","limestone bittercress","TN(Cannon, Cheatham, Claiborne, Davidson, Jefferson, Knox, Loudon, Macon, Marion, Maury, Montgomery, Robertson, Rutherford, Scott, Smith, Sumner, Williamson)"
"Cardamine flagellifera","Blue Ridge bittercress","TN(Blount, Greene, Polk, Sevier, Washington)"
"Cardamine hirsuta","hairy bittercress","TN(Anderson, Bedford, Benton, Bledsoe, Bradley, Campbell, Cannon, Cheatham, Chester, Claiborne, Clay, Crockett, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fayette, Fentress, Franklin, Gibson, Grundy, Hamblen, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Houston, Jackson, Jefferson, Knox, Lauderdale, Lewis, Macon, Marion, Marshall, Maury, Meigs, Monroe, Montgomery, Overton, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sumner, Tipton, Unicoi, Warren, Weakley, Williamson, Wilson)"
"Cardamine parviflora","sand bittercress","TN(Anderson, Bedford, Blount, Campbell, Carroll, Cheatham, Davidson, Dickson, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Hamilton, Hardin, Haywood, Henderson, Hickman, Johnson, Knox, Lawrence, Lewis, Madison, Marion, Marshall, McNairy, Meigs, Monroe, Montgomery, Morgan, Polk, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Stewart, Wayne, Williamson)"
"Cardamine parviflora var. arenicola","sand bittercress","TN(Anderson, Bedford, Blount, Campbell, Carroll, Cheatham, Davidson, Dickson, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Hamilton, Hardin, Haywood, Henderson, Hickman, Johnson, Knox, Lawrence, Lewis, Madison, Marion, Marshall, McNairy, Meigs, Monroe, Montgomery, Morgan, Polk, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Stewart, Wayne, Williamson)"
"Cardamine pensylvanica","Pennsylvania bittercress","TN(Blount, Bradley, Campbell, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Cumberland, Davidson, Dickson, Fentress, Greene, Grundy, Hawkins, Henry, Hickman, Jackson, Johnson, Knox, Lake, Lewis, Maury, McNairy, Meigs, Montgomery, Morgan, Overton, Pickett, Polk, Rutherford, Scott, Sevier, Stewart, Sullivan, Sumner, Washington, Wilson)"
"Cardamine rotundifolia","American bittercress","TN(Campbell, Carter, Claiborne, Grainger, Hawkins, Johnson, Scott, Sevier, Unicoi, Washington)"
"Cardiospermum","balloonvine","TN(Bedford, Davidson, Henry, Houston, Humphreys, Marshall, Maury, Montgomery, Shelby, Stewart, Wilson)"
"Cardiospermum halicacabum","balloon vine","TN(Bedford, Davidson, Henry, Houston, Humphreys, Marshall, Maury, Montgomery, Shelby, Stewart, Wilson)"
"Carduus","plumeless thistle","TN(Campbell, Davidson, Dickson, Greene, Hamblen, Jackson, Jefferson, Knox, Loudon, Marshall, Maury, Montgomery, Rutherford, Sevier, Smith, Stewart, Sumner, Williamson)"
"Carduus nutans","nodding plumeless thistle","TN(Campbell, Davidson, Dickson, Greene, Hamblen, Jackson, Jefferson, Knox, Loudon, Marshall, Maury, Montgomery, Rutherford, Sevier, Smith, Stewart, Sumner, Williamson)"
"Carex","sedge","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Crockett, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hancock, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lake, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Madison, Marion, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Union, Van Buren, Warren, Washington, Wayne, Weakley, White, Williamson, Wilson)"
"Carex ×aestivaliformis","sedge","TN(Carter)"
"Carex abscondita","thicket sedge","TN(Anderson, Bledsoe, Blount, Campbell, Cumberland, Fentress, Franklin, Grundy, Hamilton, Haywood, Hickman, Knox, Lewis, Macon, Marion, Marshall, Montgomery, Morgan, Perry, Polk, Putnam, Rhea, Roane, Union)"
"Carex aestivalis","summer sedge","TN(Carter, Cumberland, Fentress, Greene, Grundy, Hickman, Knox, Lewis, Marion, Monroe, Polk, Putnam, Sevier)"
