"","",""
"Abies","fir","WV(Grant, Pocahontas, Randolph, Tucker)"
"Bulbostylis","hairsedge","WV(Fayette, Grant, Hampshire, Hardy, Kanawha, Mineral, Monongalia, Pendleton, Preston, Raleigh, Summers, Wyoming)"
"Bulbostylis capillaris","densetuft hairsedge","WV(Fayette, Grant, Hampshire, Hardy, Kanawha, Mineral, Monongalia, Pendleton, Preston, Raleigh, Summers, Wyoming)"
"Bulbostylis capillaris ssp. capillaris","densetuft hairsedge","WV(Fayette, Grant, Hampshire, Hardy, Kanawha, Mineral, Monongalia, Pendleton, Preston, Raleigh, Summers, Wyoming)"
"Bupleurum","bupleurum","WV(Grant, Hardy, Pendleton)"
"Bupleurum rotundifolium","hare's ear","WV(Grant, Hardy, Pendleton)"
"Calamagrostis","reedgrass","WV(Barbour, Braxton, Fayette, Grant, Hampshire, Hardy, Mercer, Mineral, Monongalia, Pendleton, Pocahontas, Preston, Raleigh, Tucker, Upshur)"
"Calamagrostis canadensis","bluejoint","WV(Braxton, Grant, Hampshire, Hardy, Mineral, Monongalia, Pocahontas, Preston, Tucker)"
"Calamagrostis canadensis var. canadensis","bluejoint","WV(Braxton, Grant, Hampshire, Hardy, Mineral, Monongalia, Pocahontas, Preston, Tucker)"
"Calamagrostis coarctata","Nuttall's reedgrass","WV(Barbour, Fayette, Hampshire, Mercer, Mineral, Monongalia, Pocahontas, Preston, Raleigh, Upshur)"
"Calamagrostis porteri","Porter's reedgrass","WV(Pendleton)"
"Calamagrostis porteri ssp. porteri","Porter's reedgrass","WV(Pendleton)"
"Calamagrostis stricta","slimstem reedgrass","WV(Preston)"
"Calamagrostis stricta ssp. stricta","slimstem reedgrass","WV(Preston)"
"Calamagrostis stricta ssp. stricta var. stricta","slimstem reedgrass","WV(Preston)"
"Callitriche","water-starwort","WV(Barbour, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Jackson, Kanawha, Marshall, Mason, Mineral, Monongalia, Monroe, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur, Webster)"
"Callitriche heterophylla","twoheaded water-starwort","WV(Barbour, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Kanawha, Mineral, Monongalia, Monroe, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur)"
"Callitriche heterophylla ssp. heterophylla","twoheaded water-starwort","WV(Barbour, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Kanawha, Mineral, Monongalia, Monroe, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur)"
"Callitriche palustris","vernal water-starwort","WV(Fayette, Hampshire, Hardy, Marshall, Mason, Monongalia, Pendleton, Pocahontas, Preston, Randolph, Tucker, Upshur, Webster)"
"Callitriche terrestris","terrestrial water-starwort","WV(Barbour, Fayette, Grant, Jackson, Mineral, Pocahontas, Randolph)"
"Calluna","heather","WV(Grant, Tucker)"
"Calluna vulgaris","heather","WV(Grant, Tucker)"
"Calopogon","grasspink","WV(Pocahontas, Raleigh)"
"Calopogon tuberosus","tuberous grasspink","WV(Pocahontas, Raleigh)"
"Calopogon tuberosus var. tuberosus","tuberous grasspink","WV(Pocahontas, Raleigh)"
"Caltha","marsh marigold","WV(Greenbrier, Hampshire, Hardy, Jefferson, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Randolph, Tucker, Webster, Wood)"
"Caltha palustris","yellow marsh marigold","WV(Greenbrier, Hampshire, Hardy, Jefferson, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Randolph, Tucker, Webster, Wood)"
"Caltha palustris var. palustris","yellow marsh marigold","WV(Greenbrier, Hampshire, Hardy, Jefferson, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Randolph, Tucker, Webster, Wood)"
"Calycanthus","sweetshrub","WV(Barbour, Gilmer, Jefferson, Kanawha, McDowell, Monongalia, Ohio, Raleigh, Roane, Summers, Wirt)"
"Calycanthus floridus","eastern sweetshrub","WV(Barbour, Gilmer, Jefferson, Kanawha, McDowell, Monongalia, Ohio, Raleigh, Roane, Summers, Wirt)"
"Calycanthus floridus var. floridus","eastern sweetshrub","WV(Barbour, Gilmer, Jefferson, Kanawha, Monongalia, Ohio, Raleigh, Wirt)"
"Calycanthus floridus var. glaucus","eastern sweetshrub","WV(McDowell, Summers)"
"Calystegia","false bindweed","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Marion, Marshall, Mason, McDowell, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Webster, Wetzel, Wirt, Wyoming)"
"Calystegia sepium","hedge false bindweed","WV(Barbour, Berkeley, Braxton, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Jackson, Jefferson, Marshall, Mason, McDowell, Monongalia, Morgan, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Webster, Wirt, Wyoming)"
"Calystegia sepium ssp. angulata","hedge false bindweed","WV(Calhoun, Hampshire, Jackson, Marshall, Mason, Monongalia, Morgan, Preston, Taylor, Upshur, Webster, Wirt)"
"Calystegia sepium ssp. sepium","hedge false bindweed","WV(Barbour, Berkeley, Braxton, Cabell, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Jackson, Jefferson, Marshall, Mason, McDowell, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Webster, Wirt, Wyoming)"
"Calystegia silvatica","shortstalk false bindweed","WV(Brooke, Calhoun, Harrison, Jackson, Kanawha, Lewis, Lincoln, Marion, Mineral, Monongalia, Morgan, Nicholas, Ohio, Raleigh, Randolph, Wetzel)"
"Calystegia silvatica ssp. fraterniflora","shortstalk false bindweed","WV(Brooke, Calhoun, Harrison, Jackson, Kanawha, Lewis, Lincoln, Marion, Mineral, Monongalia, Morgan, Nicholas, Ohio, Raleigh, Randolph, Wetzel)"
"Calystegia spithamaea","low false bindweed","WV(Barbour, Brooke, Cabell, Grant, Greenbrier, Hampshire, Hardy, Mineral, Monongalia, Monroe, Morgan, Pendleton, Pleasants, Pocahontas, Randolph, Upshur, Wetzel, Wirt)"
"Calystegia spithamaea ssp. spithamaea","low false bindweed","WV(Barbour, Brooke, Cabell, Grant, Greenbrier, Hampshire, Hardy, Mineral, Monongalia, Morgan, Pendleton, Pleasants, Pocahontas, Randolph, Upshur, Wetzel, Wirt)"
"Camassia","camas","WV(Gilmer, Greenbrier, Jackson, Kanawha, Lewis, Monroe, Pocahontas, Wetzel, Wood)"
"Camassia scilloides","Atlantic camas","WV(Gilmer, Greenbrier, Jackson, Kanawha, Lewis, Monroe, Pocahontas, Wetzel, Wood)"
"Camelina","false flax","WV(Berkeley, Boone, Fayette, Grant, Hampshire, Hardy, Marion, Mineral, Monongalia, Pendleton, Preston, Raleigh, Summers)"
"Camelina microcarpa","littlepod false flax","WV(Berkeley, Fayette, Grant, Hampshire, Hardy, Mineral, Pendleton, Preston, Raleigh)"
"Camelina sativa","false flax","WV(Boone, Fayette, Grant, Hardy, Marion, Mineral, Monongalia, Pendleton, Summers)"
"Camelina sativa ssp. sativa","gold-of-pleasure","WV(Boone, Fayette, Grant, Hardy, Marion, Mineral, Monongalia, Pendleton, Summers)"
"Campanula","bellflower","WV(Berkeley, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Jefferson, Kanawha, Mercer, Mineral, Monroe, Ohio, Pendleton, Pocahontas, Raleigh, Summers, Tucker, Wyoming)"
"Campanula aparinoides","marsh bellflower","WV(Grant, Greenbrier, Hampshire, Hardy, Jackson, Pocahontas, Raleigh, Tucker)"
"Campanula divaricata","small bonny bellflower","WV(Fayette, Greenbrier, Harrison, Mercer, Monroe, Pendleton, Pocahontas, Raleigh, Summers, Wyoming)"
"Campanula rapunculoides","rampion bellflower","WV(Berkeley, Fayette, Greenbrier, Jefferson, Kanawha, Mercer, Monroe, Ohio)"
"Campanula rotundifolia","bluebell bellflower","WV(Grant, Hampshire, Hardy, Mineral)"
"Campanulastrum","bellflower","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Campanulastrum americanum","American bellflower","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Campsis","campsis","WV(Barbour, Boone, Braxton, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Mason, Mineral, Monongalia, Monroe, Morgan, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Summers, Upshur, Wayne, Wetzel, Wirt)"
"Campsis radicans","trumpet creeper","WV(Barbour, Boone, Braxton, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Mason, Mineral, Monongalia, Monroe, Morgan, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Summers, Upshur, Wayne, Wetzel, Wirt)"
"Cannabis","hemp","WV(Boone, Fayette, Grant, Hardy, Marion, Mineral, Pendleton)"
"Cannabis sativa","marijuana","WV(Boone, Fayette, Grant, Hardy, Marion, Mineral, Pendleton)"
"Cannabis sativa ssp. sativa","marijuana","WV(Boone, Fayette, Grant, Hardy, Marion, Mineral, Pendleton)"
"Cannabis sativa ssp. sativa var. sativa","marijuana","WV(Boone, Fayette, Grant, Hardy, Marion, Mineral, Pendleton)"
"Capsella","capsella","WV(Berkeley, Boone, Brooke, Doddridge, Fayette, Hampshire, Hancock, Hardy, Jefferson, Kanawha, Lincoln, Marshall, McDowell, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Ritchie, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wirt)"
"Capsella bursa-pastoris","shepherd's purse","WV(Berkeley, Boone, Brooke, Doddridge, Fayette, Hampshire, Hancock, Hardy, Jefferson, Kanawha, Lincoln, Marshall, McDowell, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Ritchie, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wirt)"
"Cardamine","bittercress","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Cardamine angustata","slender toothwort","WV(Boone, Braxton, Cabell, Calhoun, Fayette, Greenbrier, Hampshire, Jefferson, Kanawha, Mercer, Monongalia, Monroe, Morgan, Putnam, Randolph, Ritchie, Summers, Upshur, Wayne, Webster, Wyoming)"
"Cardamine bulbosa","bulbous bittercress","WV(Barbour, Berkeley, Brooke, Cabell, Calhoun, Fayette, Greenbrier, Hampshire, Hancock, Kanawha, Mercer, Mineral, Monongalia, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur)"
"Cardamine concatenata","cutleaf toothwort","WV(Berkeley, Boone, Brooke, Cabell, Calhoun, Fayette, Gilmer, Greenbrier, Hampshire, Jackson, Kanawha, Lincoln, Marion, Marshall, Monongalia, Morgan, Ohio, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood)"
"Cardamine diphylla","crinkleroot","WV(Barbour, Boone, Braxton, Brooke, Calhoun, Fayette, Gilmer, Grant, Hancock, Kanawha, Lincoln, Logan, Marion, McDowell, Mineral, Mingo, Monongalia, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Cardamine dissecta","forkleaf toothwort","WV(Braxton, Clay, Gilmer, Grant, Hancock, Hardy, Jackson, Logan, McDowell, Mercer, Mineral, Nicholas, Pendleton, Taylor, Tucker, Wyoming)"
"Cardamine douglassii","limestone bittercress","WV(Brooke, Cabell, Fayette, Jackson, Marshall, Ohio, Ritchie, Summers)"
"Cardamine flagellifera","Blue Ridge bittercress","WV(Fayette, Raleigh, Summers)"
"Cardamine flagellifera var. flagellifera","Blue Ridge bittercress","WV(Fayette, Raleigh, Summers)"
"Cardamine hirsuta","hairy bittercress","WV(Barbour, Braxton, Cabell, Calhoun, Fayette, Gilmer, Hardy, Harrison, Jackson, Kanawha, Lincoln, Logan, Marion, Mason, Mercer, Monongalia, Pleasants, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tyler, Upshur, Wayne, Webster, Wetzel, Wood, Wyoming)"
"Cardamine impatiens","narrowleaf bittercress","WV(Brooke, Fayette, Mercer, Ohio, Raleigh, Summers, Wyoming)"
"Cardamine parviflora","sand bittercress","WV(Fayette, Hampshire, Jefferson, McDowell, Mineral, Monongalia, Upshur)"
"Cardamine parviflora var. arenicola","sand bittercress","WV(Fayette, Hampshire, Jefferson, McDowell, Mineral, Monongalia, Upshur)"
"Cardamine pensylvanica","Pennsylvania bittercress","WV(Barbour, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Hampshire, Hancock, Hardy, Kanawha, Mineral, Monongalia, Ohio, Pocahontas, Raleigh, Randolph, Ritchie, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Cardamine rotundifolia","American bittercress","WV(Boone, Calhoun, Fayette, Hardy, Kanawha, Marion, Marshall, McDowell, Mercer, Monongalia, Ohio, Pleasants, Preston, Raleigh, Randolph, Ritchie, Wayne, Wetzel, Wirt, Wyoming)"
"Cardaria","whitetop","WV(Randolph)"
"Cardaria draba","whitetop","WV(Randolph)"
"Carduus","plumeless thistle","WV(Berkeley, Grant, Hardy, Jefferson, Mercer, Mineral, Monroe, Morgan, Pendleton, Pocahontas, Raleigh, Randolph, Tucker, Wyoming)"
"Carduus acanthoides","spiny plumeless thistle","WV(Berkeley, Grant, Monroe, Pendleton, Pocahontas, Raleigh, Randolph, Wyoming)"
"Carduus crispus","curly plumeless thistle","WV(Hardy, Jefferson, Mercer)"
"Carduus nutans","nodding plumeless thistle","WV(Berkeley, Grant, Hardy, Mineral, Morgan, Tucker)"
"Carex","sedge","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Carex aestivalis","summer sedge","WV(Pendleton, Pocahontas, Randolph, Tucker)"
"Carex aggregata","glomerate sedge","WV(Greenbrier, Kanawha, Monongalia, Webster)"
"Carex albicans","whitetinge sedge","WV(Kanawha, Lincoln)"
"Carex albicans var. albicans","whitetinge sedge","WV(Kanawha, Lincoln)"
"Carex albolutescens","greenwhite sedge","WV(Randolph)"
"Carex albursina","white bear sedge","WV(Cabell, Gilmer, Kanawha, Lincoln, Monongalia, Ohio, Pocahontas, Raleigh, Summers, Tucker, Tyler, Upshur, Wayne, Wirt)"
"Carex amphibola","eastern narrowleaf sedge","WV(Cabell, Fayette, Hampshire, Hardy, Kanawha, Lewis, Mineral, Monongalia, Pocahontas, Tyler, Wayne, Wirt)"
"Carex annectens","yellowfruit sedge","WV(Barbour, Berkeley, Brooke, Fayette, Hampshire, Hardy, Pocahontas, Putnam, Raleigh, Wayne, Webster)"
"Carex appalachica","Appalachian sedge","WV(Tucker)"
"Carex argyrantha","hay sedge","WV(Grant, Greenbrier, Hancock, Hardy, Kanawha, Mercer, Monongalia, Nicholas, Pendleton, Pocahontas, Raleigh, Randolph, Tucker)"
"Carex atherodes","wheat sedge","WV(Tucker)"
"Carex atlantica","prickly bog sedge","WV(Barbour, Fayette, Hardy, Lewis, Pocahontas, Raleigh, Randolph, Tucker, Tyler, Upshur)"
"Carex atlantica ssp. atlantica","prickly bog sedge","WV(Barbour, Fayette, Hardy, Lewis, Pocahontas, Raleigh, Randolph, Tucker, Tyler, Upshur)"
"Carex baileyi","Bailey's sedge","WV(Fayette, Greenbrier, Hampshire, Hardy, Kanawha, McDowell, Monongalia, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Taylor, Tucker, Wayne, Webster)"
"Carex blanda","eastern woodland sedge","WV(Cabell, Calhoun, Grant, Hampshire, Hardy, Kanawha, Lincoln, Mason, McDowell, Monongalia, Ohio, Pleasants, Pocahontas, Raleigh, Randolph, Summers, Tucker, Wayne, Wirt)"
"Carex brevior","shortbeak sedge","WV(Grant, Hampshire, Jefferson, Nicholas, Raleigh, Tyler, Wyoming)"
"Carex bromoides","brome-like sedge","WV(Grant, Greenbrier, Mason, Pleasants, Preston, Randolph, Tucker, Upshur)"
"Carex bromoides ssp. bromoides","brome-like sedge","WV(Grant, Greenbrier, Mason, Pleasants, Preston, Randolph, Tucker, Upshur)"
"Carex brunnescens","brownish sedge","WV(Pocahontas)"
"Carex brunnescens ssp. sphaerostachya","brownish sedge","WV(Pocahontas)"
"Carex bushii","Bush's sedge","WV(Barbour, Grant, Kanawha, Marion, Raleigh, Randolph)"
"Carex buxbaumii","Buxbaum's sedge","WV(Grant, Hampshire, Hardy, Jefferson, Tyler)"
"Carex canescens","silvery sedge","WV(Grant, Jefferson, Mineral, Monongalia, Pocahontas, Randolph, Tucker)"
"Carex canescens ssp. canescens","silvery sedge","WV(Pocahontas, Randolph, Tucker)"
"Carex careyana","Carey's sedge","WV(Fayette)"
"Carex caroliniana","Carolina sedge","WV(Barbour, Brooke, Greenbrier, Mercer, Putnam, Randolph, Tyler, Upshur, Wirt)"
"Carex cephalophora","oval-leaf sedge","WV(Braxton, Cabell, Fayette, Grant, Greenbrier, Hampshire, Harrison, Kanawha, Lewis, McDowell, Mineral, Monongalia, Morgan, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Tyler, Wetzel, Wirt, Wyoming)"
"Carex communis","fibrousroot sedge","WV(Fayette, Grant, Hancock, Hardy, Kanawha, Mineral, Monongalia, Nicholas, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Roane, Tucker, Tyler, Upshur, Wirt, Wyoming)"
"Carex communis var. communis","fibrousroot sedge","WV(Fayette, Grant, Hancock, Hardy, Kanawha, Mineral, Monongalia, Nicholas, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Roane, Tucker, Tyler, Upshur, Wirt, Wyoming)"
"Carex comosa","longhair sedge","WV(Hardy, Jefferson, Tucker)"
"Carex conjuncta","soft fox sedge","WV(Hampshire, Kanawha, Mercer, Monongalia, Ohio, Pendleton, Summers, Webster)"
"Carex conoidea","openfield sedge","WV(Jefferson)"
"Carex crinita","fringed sedge","WV(Barbour, Berkeley, Boone, Cabell, Doddridge, Fayette, Hampshire, Harrison, Lewis, Mercer, Mineral, Monongalia, Pocahontas, Raleigh, Tyler, Upshur, Wetzel, Wirt, Wood, Wyoming)"
"Carex crinita var. crinita","fringed sedge","WV(Barbour, Berkeley, Boone, Cabell, Doddridge, Fayette, Hampshire, Harrison, Lewis, Mercer, Mineral, Monongalia, Pocahontas, Raleigh, Tyler, Upshur, Wetzel, Wirt, Wood, Wyoming)"
"Carex cristatella","crested sedge","WV(Hampshire, Hancock, Kanawha, Marshall, Randolph, Tyler)"
"Carex davisii","Davis' sedge","WV(Hampshire, Pendleton)"
"Carex debilis","white edge sedge","WV(Fayette, Grant, Greenbrier, Hampshire, Mercer, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Tucker, Upshur, Webster)"
"Carex debilis var. rudgei","white edge sedge","WV(Fayette, Grant, Greenbrier, Hampshire, Mercer, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Tucker, Upshur, Webster)"
"Carex deflexa","northern sedge","WV(Tucker)"
"Carex digitalis","slender woodland sedge","WV(Fayette, Grant, Hampshire, Hardy, Kanawha, Lewis, Mercer, Monroe, Nicholas, Pocahontas, Raleigh, Taylor, Upshur, Wayne, Webster, Wyoming)"
"Carex digitalis var. digitalis","slender woodland sedge","WV(Fayette, Grant, Hampshire, Hardy, Kanawha, Lewis, Mercer, Monroe, Nicholas, Pocahontas, Raleigh, Taylor, Upshur, Wayne, Webster, Wyoming)"
"Carex eburnea","bristleleaf sedge","WV(Grant, Greenbrier, Hardy, Mercer, Mineral, Pendleton)"
"Carex echinata","star sedge","WV(Grant, Kanawha, Monongalia, Pocahontas, Preston, Tucker)"
"Carex echinata ssp. echinata","star sedge","WV(Grant, Kanawha, Monongalia, Pocahontas, Preston, Tucker)"
"Carex emoryi","Emory's sedge","WV(Mercer, Pendleton, Randolph, Summers)"
"Carex festucacea","fescue sedge","WV(Fayette, Grant, Hancock, Monongalia, Pendleton, Putnam, Wetzel)"
"Carex folliculata","northern long sedge","WV(Barbour, Berkeley, Grant, Hampshire, Mercer, Mineral, Monongalia, Morgan, Pocahontas, Preston, Raleigh, Randolph, Tucker)"
"Carex frankii","Frank's sedge","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Doddridge, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Lewis, Marshall, Mason, Mercer, Mineral, Monongalia, Monroe, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wirt)"
"Carex glaucodea","blue sedge","WV(Fayette, Grant, Hampshire, Hancock, Jackson, Jefferson, Mercer, Pleasants, Pocahontas, Randolph, Wirt)"
"Carex gracilescens","slender looseflower sedge","WV(Fayette, Hardy, Kanawha, Marion, Preston, Summers, Upshur)"
"Carex gracillima","graceful sedge","WV(Boone, Braxton, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Kanawha, McDowell, Monroe, Nicholas, Pendleton, Pocahontas, Raleigh, Randolph, Tucker, Upshur, Wetzel, Wyoming)"
"Carex granularis","limestone meadow sedge","WV(Fayette, Greenbrier, Hampshire, Hardy, Harrison, Kanawha, Lewis, Marshall, Mercer, Monongalia, Pocahontas, Summers, Tucker)"
"Carex grayi","Gray's sedge","WV(Jackson, Kanawha, Ritchie, Wirt, Wood)"
"Carex gynandra","nodding sedge","WV(Barbour, Fayette, Greenbrier, Hardy, Mercer, Mineral, Monongalia, Monroe, Pocahontas, Preston, Randolph, Summers, Tucker)"
"Carex hirsutella","fuzzy wuzzy sedge","WV(Barbour, Berkeley, Braxton, Cabell, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Jackson, Kanawha, Lewis, Marion, Marshall, Mason, Monongalia, Pocahontas, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood)"
"Carex hirtifolia","pubescent sedge","WV(Kanawha, Ohio, Wayne)"
"Carex hitchcockiana","Hitchcock's sedge","WV(Greenbrier, Raleigh, Randolph)"
"Carex hystericina","bottlebrush sedge","WV(Jefferson, Preston, Tucker)"
"Carex interior","inland sedge","WV(Cabell, Fayette, Grant, Hampshire, Monongalia, Nicholas, Pocahontas, Preston, Randolph, Tucker, Upshur, Webster)"
"Carex intumescens","greater bladder sedge","WV(Barbour, Fayette, Grant, Greenbrier, Hampshire, Kanawha, Mercer, Monongalia, Morgan, Pocahontas, Preston, Raleigh, Randolph, Tucker, Tyler, Upshur, Webster)"
"Carex jamesii","James' sedge","WV(Cabell, Fayette, Kanawha, Monongalia, Ohio, Wayne)"
"Carex lacustris","hairy sedge","WV(Grant, Greenbrier, Jefferson, Pocahontas, Preston, Tucker)"
"Carex laevivaginata","smoothsheath sedge","WV(Barbour, Brooke, Cabell, Fayette, Hardy, Harrison, Kanawha, Lewis, Marion, Monongalia, Ohio, Pendleton, Pocahontas, Raleigh, Randolph, Tyler, Upshur)"
"Carex laxiculmis","spreading sedge","WV(Fayette, Grant, Greenbrier, Hancock, Kanawha, Mercer, Nicholas, Pocahontas, Preston, Raleigh, Wetzel, Wirt)"
"Carex laxiculmis var. laxiculmis","spreading sedge","WV(Fayette, Grant, Greenbrier, Hancock, Kanawha, Mercer, Nicholas, Pocahontas, Preston, Raleigh, Wetzel, Wirt)"
"Carex laxiflora","broad looseflower sedge","WV(Barbour, Boone, Braxton, Brooke, Clay, Doddridge, Fayette, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Lewis, Lincoln, Logan, Marion, McDowell, Mercer, Mineral, Monongalia, Monroe, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Carex laxiflora var. laxiflora","broad looseflower sedge","WV(Barbour, Boone, Braxton, Brooke, Clay, Doddridge, Fayette, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Lewis, Lincoln, Logan, Marion, McDowell, Mercer, Mineral, Monongalia, Monroe, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Carex leavenworthii","Leavenworth's sedge","WV(Cabell, Kanawha, Monongalia, Ohio)"
"Carex leptalea","bristlystalked sedge","WV(Fayette, Hampshire, Monongalia, Monroe, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur)"
"Carex leptalea ssp. leptalea","bristlystalked sedge","WV(Fayette, Hampshire, Monongalia, Monroe, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur)"
"Carex leptonervia","nerveless woodland sedge","WV(Pocahontas, Preston, Randolph, Tucker)"
"Carex lupulina","hop sedge","WV(Barbour, Greenbrier, Hampshire, Hardy, Harrison, Kanawha, Mason, Mercer, Mineral, Monongalia, Nicholas, Pocahontas, Preston, Putnam, Raleigh, Randolph, Summers, Tucker, Upshur, Wayne, Wirt)"
