"","",""
"Abronia","sand verbena","OK(Cimarron, Harmon, Jackson, Texas)"
"Carya aquatica","water hickory","OK(Atoka, Cherokee, Choctaw, Latimer, Le Flore, McCurtain, Pushmataha)"
"Carya cordiformis","bitternut hickory","OK(Adair, Atoka, Bryan, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Craig, Delaware, Johnston, Kay, Latimer, Le Flore, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Nowata, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pushmataha, Rogers, Seminole, Sequoyah, Tulsa, Wagoner, Washington)"
"Carya glabra","pignut hickory","OK(Bryan, Cherokee, Choctaw, Le Flore, McCurtain, Pushmataha)"
"Carya illinoinensis","pecan","OK(Adair, Alfalfa, Atoka, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Cotton, Creek, Custer, Delaware, Garfield, Garvin, Grady, Grant, Greer, Haskell, Hughes, Jackson, Jefferson, Johnston, Kay, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Nowata, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Tulsa, Wagoner, Washington, Washita, Woods)"
"Carya laciniosa","shellbark hickory","OK(Adair, Cherokee, Choctaw, Craig, Delaware, McCurtain, Nowata, Ottawa, Sequoyah, Washington)"
"Carya myristiciformis","nutmeg hickory","OK(Bryan, Cherokee, Choctaw, Le Flore, Marshall, McCurtain, Murray, Pushmataha)"
"Carya ovalis","red hickory","OK(Adair, Cherokee, Coal, Delaware, Hughes, Mayes, Muskogee, Ottawa, Pushmataha, Sequoyah)"
"Carya ovata","shagbark hickory","OK(Adair, Bryan, Cherokee, Choctaw, Cleveland, Delaware, Latimer, Le Flore, Logan, Mayes, McCurtain, Muskogee, Osage, Ottawa, Pushmataha, Sequoyah)"
"Carya texana","black hickory","OK(Adair, Atoka, Bryan, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Creek, Delaware, Haskell, Hughes, Jefferson, Johnston, Kay, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Nowata, Okfuskee, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Tillman, Tulsa, Wagoner, Washington)"
"Carya tomentosa","mockernut hickory","OK(Adair, Atoka, Bryan, Carter, Cherokee, Choctaw, Creek, Delaware, Haskell, Johnston, Latimer, Le Flore, Logan, Marshall, Mayes, McCurtain, McIntosh, Muskogee, Nowata, Osage, Ottawa, Pawnee, Pittsburg, Pontotoc, Pushmataha, Sequoyah, Tulsa)"
"Castilleja","Indian paintbrush","OK(Atoka, Beckham, Blaine, Cherokee, Choctaw, Cimarron, Coal, Comanche, Craig, Custer, Delaware, Ellis, Greer, Harmon, Harper, Haskell, Jackson, Kiowa, Latimer, Le Flore, Major, Mayes, McCurtain, Muskogee, Ottawa, Pittsburg, Pushmataha, Roger Mills, Seminole, Tillman, Tulsa, Woods, Woodward)"
"Castilleja coccinea","scarlet Indian paintbrush","OK(Atoka, Cherokee, Choctaw, Coal, Craig, Delaware, Haskell, Latimer, Le Flore, Mayes, McCurtain, Muskogee, Ottawa, Pittsburg, Pushmataha, Seminole, Tulsa)"
"Castilleja purpurea","downy Indian paintbrush","OK(Beckham, Blaine, Comanche, Custer, Ellis, Greer, Harmon, Harper, Jackson, Kiowa, Major, Roger Mills, Tillman, Tulsa, Woods, Woodward)"
"Castilleja purpurea var. citrina","prairie Indian paintbrush","OK(Beckham, Blaine, Comanche, Custer, Ellis, Greer, Harmon, Harper, Jackson, Kiowa, Major, Roger Mills, Tillman, Woods, Woodward)"
"Castilleja purpurea var. purpurea","downy Indian paintbrush","OK(Harper, Tulsa)"
"Castilleja sessiliflora","downy paintedcup","OK(Cimarron, Ellis, Roger Mills, Woods)"
"Catalpa","catalpa","OK(Alfalfa, Canadian, Cherokee, Cleveland, Custer, Grady, Le Flore, Murray, Muskogee, Payne, Tulsa, Woods)"
"Catalpa speciosa","northern catalpa","OK(Alfalfa, Canadian, Cherokee, Cleveland, Custer, Grady, Le Flore, Murray, Muskogee, Payne, Tulsa, Woods)"
"Catapodium","ferngrass","OK(Murray)"
"Catapodium rigidum","ferngrass","OK(Murray)"
"Cayaponia","melonleaf","OK(Cherokee, Delaware, Latimer, McCurtain, Pushmataha)"
"Cayaponia quinqueloba","fivelobe cucumber","OK(Cherokee, Delaware, Latimer, McCurtain, Pushmataha)"
"Ceanothus","ceanothus","OK(Adair, Beckham, Bryan, Caddo, Carter, Cherokee, Cimarron, Cleveland, Comanche, Creek, Custer, Delaware, Dewey, Ellis, Greer, Harper, Hughes, Jackson, Johnston, Kay, Kiowa, Latimer, Le Flore, Love, Major, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Sequoyah, Tulsa, Woods)"
"Ceanothus americanus","New Jersey tea","OK(Adair, Bryan, Caddo, Cleveland, Creek, Delaware, Hughes, Kay, Kiowa, Latimer, Le Flore, Love, Marshall, McCurtain, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Tulsa)"
"Ceanothus herbaceus","Jersey tea","OK(Adair, Beckham, Bryan, Carter, Cherokee, Cimarron, Cleveland, Comanche, Custer, Delaware, Dewey, Ellis, Greer, Harper, Jackson, Johnston, Kiowa, Latimer, Le Flore, Major, Marshall, Mayes, McCurtain, Murray, Pittsburg, Pushmataha, Roger Mills, Rogers, Sequoyah, Woods)"
"Celastrus","bittersweet","OK(Alfalfa, Canadian, Cleveland, Comanche, Garfield, Grady, Kay, Murray, Oklahoma, Payne, Pontotoc, Tulsa, Woodward)"
"Celastrus scandens","American bittersweet","OK(Alfalfa, Canadian, Cleveland, Comanche, Garfield, Grady, Kay, Murray, Oklahoma, Payne, Pontotoc, Tulsa, Woodward)"
"Celtis","hackberry","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Haskell, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Nowata, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Texas, Tillman, Tulsa, Wagoner, Washington, Washita, Woods, Woodward)"
"Celtis laevigata","sugarberry","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Haskell, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Nowata, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Texas, Tillman, Tulsa, Wagoner, Washington, Washita, Woods, Woodward)"
"Celtis laevigata var. laevigata","sugarberry","OK(Cherokee, Coal, Creek, Custer, Hughes, Johnston, Marshall, Muskogee, Noble, Oklahoma, Pittsburg, Pontotoc, Sequoyah, Tillman, Tulsa)"
"Celtis laevigata var. reticulata","netleaf hackberry","OK(Alfalfa, Beaver, Beckham, Blaine, Caddo, Canadian, Carter, Cimarron, Cleveland, Comanche, Custer, Dewey, Ellis, Garvin, Grady, Grant, Greer, Harmon, Harper, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Le Flore, Logan, Love, Major, Marshall, Murray, Oklahoma, Ottawa, Payne, Pottawatomie, Roger Mills, Rogers, Stephens, Washita, Woods, Woodward)"
"Celtis laevigata var. texana","Texan sugarberry","OK(Atoka, Blaine, Caddo, Canadian, Carter, Cherokee, Cleveland, Comanche, Custer, Garvin, Grady, Jackson, Johnston, Kingfisher, Le Flore, Logan, Love, Marshall, Murray, Osage, Pawnee, Payne, Pushmataha, Roger Mills, Tulsa, Washita, Woodward)"
"Celtis occidentalis","common hackberry","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Coal, Comanche, Cotton, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Haskell, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Nowata, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Sequoyah, Stephens, Texas, Tillman, Tulsa, Washington, Washita, Woods, Woodward)"
"Celtis pumila","dwarf hackberry","OK(Beaver, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Comanche, Delaware, Garvin, Greer, Harper, Haskell, Johnston, Kiowa, Latimer, Le Flore, Marshall, McCurtain, Murray, Muskogee, Noble, Oklahoma, Okmulgee, Ottawa, Payne, Pittsburg, Pottawatomie, Pushmataha, Rogers, Sequoyah, Texas, Washington, Washita, Woods)"
"Cenchrus","sandbur","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Cleveland, Comanche, Custer, Grady, Grant, Harmon, Harper, Jackson, Kay, Kingfisher, Kiowa, Lincoln, Major, Marshall, Mayes, McClain, McIntosh, Murray, Muskogee, Oklahoma, Payne, Pontotoc, Roger Mills, Texas, Tillman, Woods)"
"Cenchrus longispinus","mat sandbur","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Cleveland, Comanche, Custer, Grady, Harmon, Harper, Jackson, Kay, Kingfisher, Kiowa, Lincoln, Major, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Payne, Roger Mills, Texas, Tillman, Woods)"
"Cenchrus spinifex","coastal sandbur","OK(Bryan, Grant, Mayes, McIntosh, Muskogee, Pontotoc)"
"Centaurea","knapweed","OK(Atoka, Beckham, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Comanche, Cotton, Creek, Custer, Garvin, Grady, Greer, Harmon, Jefferson, Johnston, Kingfisher, Kiowa, Latimer, Logan, Love, Marshall, Mayes, McCurtain, Murray, Noble, Oklahoma, Payne, Pittsburg, Pontotoc, Sequoyah, Texas, Tillman, Tulsa, Wagoner, Washita)"
"Centaurea americana","American star-thistle","OK(Atoka, Beckham, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Comanche, Cotton, Creek, Custer, Garvin, Grady, Greer, Harmon, Jefferson, Johnston, Kingfisher, Kiowa, Latimer, Love, Marshall, Mayes, McCurtain, Murray, Noble, Oklahoma, Pittsburg, Pontotoc, Sequoyah, Tillman, Tulsa, Wagoner, Washita)"
"Centaurea cyanus","garden cornflower","OK(Cleveland, Grady, Logan, McCurtain, Oklahoma, Payne, Tulsa)"
"Centaurea solstitialis","yellow star-thistle","OK(Creek, Texas)"
"Centaurium","centaury","OK(Comanche)"
"Centaurium texense","Lady Bird's centaury","OK(Comanche)"
"Cephalanthus","buttonbush","OK(Alfalfa, Atoka, Blaine, Bryan, Caddo, Cherokee, Cleveland, Comanche, Cotton, Craig, Custer, Delaware, Ellis, Grady, Greer, Haskell, Jefferson, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Nowata, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pushmataha, Roger Mills, Sequoyah, Stephens, Tulsa, Woods)"
"Cephalanthus occidentalis","common buttonbush","OK(Alfalfa, Atoka, Blaine, Bryan, Caddo, Cherokee, Cleveland, Comanche, Cotton, Craig, Custer, Delaware, Ellis, Grady, Greer, Haskell, Jefferson, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Nowata, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pushmataha, Roger Mills, Sequoyah, Stephens, Tulsa, Woods)"
"Cerastium","mouse-ear chickweed","OK(Adair, Blaine, Bryan, Caddo, Canadian, Cherokee, Choctaw, Cleveland, Comanche, Creek, Delaware, Garfield, Grant, Greer, Johnston, Kingfisher, Latimer, Le Flore, Lincoln, Logan, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Rogers, Seminole, Tulsa, Wagoner, Washington, Woods, Woodward)"
"Cerastium brachypodum","shortstalk chickweed","OK(Adair, Blaine, Caddo, Canadian, Cherokee, Choctaw, Cleveland, Comanche, Creek, Delaware, Garfield, Grant, Greer, Kingfisher, Latimer, Le Flore, Lincoln, Logan, Marshall, Mayes, McClain, McCurtain, Murray, Oklahoma, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Rogers, Tulsa, Wagoner, Woods, Woodward)"
"Cerastium fontanum","common mouse-ear chickweed","OK(Caddo, Canadian, Cherokee, Cleveland, Delaware, Latimer, Mayes, McCurtain, Muskogee, Oklahoma, Seminole)"
"Cerastium fontanum ssp. vulgare","big chickweed","OK(Caddo, Canadian, Cherokee, Cleveland, Delaware, Latimer, Mayes, McCurtain, Muskogee, Oklahoma, Seminole)"
"Cerastium glomeratum","sticky chickweed","OK(Adair, Bryan, Choctaw, Cleveland, Comanche, Delaware, Johnston, Le Flore, Lincoln, Marshall, McCurtain, Muskogee, Osage, Ottawa, Pontotoc, Pottawatomie, Washington)"
"Cerastium nutans","nodding chickweed","OK(Muskogee)"
"Cerastium nutans var. nutans","nodding chickweed","OK(Muskogee)"
"Ceratophyllum","hornwort","OK(Alfalfa, Bryan, Carter, Cleveland, Comanche, Cotton, Delaware, Harmon, Hughes, Payne)"
"Ceratophyllum demersum","coon's tail","OK(Alfalfa, Bryan, Carter, Cleveland, Comanche, Cotton, Delaware, Harmon, Hughes, Payne)"
"Cercis","redbud","OK(Adair, Atoka, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Cleveland, Comanche, Creek, Custer, Delaware, Dewey, Grady, Haskell, Jefferson, Johnston, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Nowata, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Rogers, Sequoyah, Stephens, Tulsa, Washington, Woods, Woodward)"
"Cercis canadensis","eastern redbud","OK(Adair, Atoka, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Cleveland, Comanche, Creek, Custer, Delaware, Dewey, Grady, Haskell, Jefferson, Johnston, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Nowata, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Rogers, Sequoyah, Stephens, Tulsa, Washington, Woods, Woodward)"
"Cercocarpus","mountain mahogany","OK(Cimarron)"
"Cercocarpus montanus","alderleaf mountain mahogany","OK(Cimarron)"
"Cercocarpus montanus var. montanus","alderleaf mountain mahogany","OK(Cimarron)"
"Cevallia","stinging serpent","OK(Greer, Harmon, Jackson)"
"Cevallia sinuata","stinging serpent","OK(Greer, Harmon, Jackson)"
"Chaerophyllum","chervil","OK(Adair, Atoka, Caddo, Carter, Cherokee, Choctaw, Cleveland, Comanche, Cotton, Craig, Creek, Delaware, Garfield, Garvin, Grady, Greer, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Seminole, Sequoyah, Stephens, Tulsa, Washington)"
"Chaerophyllum procumbens","spreading chervil","OK(Atoka, Cherokee, Cleveland, Craig, Creek, Delaware, Garfield, Grady, Kay, Latimer, Logan, Love, McCurtain, Murray, Muskogee, Oklahoma, Osage, Payne, Sequoyah, Tulsa)"
"Chaerophyllum procumbens var. procumbens","spreading chervil","OK(Atoka, Cherokee, Cleveland, Craig, Creek, Delaware, Garfield, Grady, Kay, Latimer, Logan, Love, McCurtain, Murray, Muskogee, Oklahoma, Osage, Payne, Sequoyah, Tulsa)"
"Chaerophyllum tainturieri","hairyfruit chervil","OK(Adair, Caddo, Carter, Cherokee, Choctaw, Cleveland, Comanche, Cotton, Delaware, Garvin, Grady, Greer, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McCurtain, Murray, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Seminole, Sequoyah, Stephens, Tulsa, Washington)"
"Chaetopappa","leastdaisy","OK(Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Cimarron, Cleveland, Comanche, Cotton, Custer, Dewey, Ellis, Grady, Greer, Harmon, Harper, Haskell, Hughes, Jackson, Jefferson, Johnston, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Murray, Muskogee, Oklahoma, Osage, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Seminole, Sequoyah, Stephens, Texas, Tillman, Woods, Woodward)"
"Chaetopappa asteroides","Arkansas leastdaisy","OK(Atoka, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Cotton, Grady, Greer, Haskell, Hughes, Jackson, Jefferson, Johnston, Kiowa, Latimer, Le Flore, Lincoln, Love, Marshall, Murray, Muskogee, Oklahoma, Osage, Pontotoc, Pottawatomie, Pushmataha, Seminole, Sequoyah, Stephens)"
"Chaetopappa asteroides var. asteroides","Arkansas leastdaisy","OK(Atoka, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Cotton, Grady, Greer, Haskell, Hughes, Jackson, Jefferson, Johnston, Kiowa, Latimer, Le Flore, Lincoln, Love, Marshall, Murray, Muskogee, Oklahoma, Osage, Pontotoc, Pottawatomie, Pushmataha, Seminole, Sequoyah, Stephens)"
"Chaetopappa ericoides","rose heath","OK(Beaver, Beckham, Blaine, Caddo, Cimarron, Custer, Dewey, Ellis, Greer, Harmon, Harper, Jackson, Kiowa, Logan, Major, Murray, Roger Mills, Texas, Tillman, Woods, Woodward)"
"Chamaecrista","sensitive pea","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Cleveland, Comanche, Cotton, Craig, Creek, Custer, Delaware, Garfield, Grady, Grant, Greer, Harper, Jackson, Johnston, Kay, Kingfisher, Kiowa, Le Flore, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Seminole, Sequoyah, Stephens, Tulsa, Woods)"
"Chamaecrista fasciculata","partridge pea","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cleveland, Comanche, Cotton, Craig, Creek, Custer, Garfield, Grady, Grant, Greer, Harper, Jackson, Kay, Kingfisher, Kiowa, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Seminole, Sequoyah, Stephens, Tulsa, Woods)"
"Chamaecrista fasciculata var. fasciculata","partridge pea","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cleveland, Comanche, Cotton, Craig, Creek, Custer, Garfield, Grady, Grant, Greer, Harper, Jackson, Kay, Kingfisher, Kiowa, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Seminole, Sequoyah, Stephens, Tulsa, Woods)"
"Chamaecrista nictitans","sensitive partridge pea","OK(Adair, Bryan, Cherokee, Cleveland, Creek, Delaware, Johnston, Le Flore, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Osage, Ottawa, Pawnee, Payne, Pottawatomie, Pushmataha, Seminole, Sequoyah)"
"Chamaecrista nictitans ssp. nictitans","sensitive partridge pea","OK(Adair, Bryan, Cherokee, Cleveland, Creek, Delaware, Johnston, Le Flore, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Osage, Ottawa, Pawnee, Payne, Pottawatomie, Pushmataha, Seminole, Sequoyah)"
"Chamaecrista nictitans ssp. nictitans var. nictitans","sensitive partridge pea","OK(Adair, Bryan, Cherokee, Cleveland, Creek, Delaware, Johnston, Le Flore, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Osage, Ottawa, Pawnee, Payne, Pottawatomie, Pushmataha, Seminole, Sequoyah)"
"Chamaesaracha","five eyes","OK(Beaver, Beckham, Cimarron, Custer, Ellis, Greer, Harmon, Harper, Jackson, Kiowa, Major, Okfuskee, Roger Mills, Texas, Tillman, Washita, Woods, Woodward)"
"Chamaesaracha coniodes","gray five eyes","OK(Beaver, Beckham, Cimarron, Custer, Ellis, Greer, Harmon, Harper, Jackson, Kiowa, Major, Okfuskee, Roger Mills, Texas, Tillman, Washita, Woods, Woodward)"
"Chamaesaracha coronopus","greenleaf five eyes","OK(Cimarron)"
"Chamaesyce","sandmat","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Cimarron, Cleveland, Comanche, Cotton, Craig, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Grady, Grant, Greer, Harmon, Harper, Haskell, Hughes, Jackson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Sequoyah, Texas, Tillman, Tulsa, Washita, Woods, Woodward)"
"Chamaesyce albomarginata","whitemargin sandmat","OK(Beckham, Blaine, Grady, Greer, Harmon, Jackson, Major)"
"Chamaesyce carunculata","sanddune sandmat","OK(Woods)"
"Chamaesyce cordifolia","heartleaf sandmat","OK(Atoka, Pushmataha)"
"Chamaesyce fendleri","Fendler's sandmat","OK(Beaver, Cimarron, Cleveland, Ellis, Harper, Roger Mills, Texas, Woodward)"
"Chamaesyce geyeri","Geyer's sandmat","OK(Beaver, Cimarron, Creek, Grant, Muskogee)"
"Chamaesyce geyeri var. geyeri","Geyer's sandmat","OK(Beaver, Cimarron, Creek, Grant, Muskogee)"
"Chamaesyce glyptosperma","ribseed sandmat","OK(Alfalfa, Beaver, Beckham, Canadian, Cimarron, Cleveland, Cotton, Custer, Dewey, Grady, Harmon, Harper, Jackson, Logan, Major, Muskogee, Oklahoma, Roger Mills, Texas, Woods, Woodward)"
"Chamaesyce humistrata","spreading sandmat","OK(Bryan, Craig, Custer, Murray, Oklahoma, Ottawa, Pawnee, Payne)"
"Chamaesyce lata","hoary sandmat","OK(Beaver, Cimarron, Harmon, Jackson, Roger Mills, Texas)"
"Chamaesyce maculata","spotted sandmat","OK(Alfalfa, Blaine, Bryan, Caddo, Carter, Cleveland, Comanche, Craig, Creek, Custer, Garfield, Grady, Harmon, Johnston, Kay, Latimer, Le Flore, Logan, Mayes, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Sequoyah, Texas, Woods)"
"Chamaesyce missurica","prairie sandmat","OK(Alfalfa, Beaver, Beckham, Blaine, Caddo, Carter, Cherokee, Cimarron, Cleveland, Comanche, Custer, Ellis, Greer, Harmon, Harper, Johnston, Kingfisher, Kiowa, Logan, Major, Marshall, McClain, Murray, Muskogee, Oklahoma, Osage, Payne, Roger Mills, Rogers, Texas, Tulsa, Washita, Woods)"
"Chamaesyce nutans","eyebane","OK(Adair, Bryan, Caddo, Canadian, Cherokee, Cleveland, Comanche, Custer, Delaware, Grady, Grant, Greer, Hughes, Kay, Latimer, Le Flore, Logan, Love, Marshall, Murray, Muskogee, Noble, Oklahoma, Osage, Pittsburg, Pontotoc, Pottawatomie, Woods)"
"Chamaesyce prostrata","prostrate sandmat","OK(Adair, Beaver, Blaine, Cleveland, Comanche, Grady, Grant, Haskell, Kay, Le Flore, Love, Major, Murray, Muskogee, Oklahoma, Woods)"
"Chamaesyce serpens","matted sandmat","OK(Beaver, Blaine, Bryan, Cleveland, Garfield, Grant, Greer, Kay, Logan, Marshall, McCurtain, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Pontotoc, Tillman, Woods)"
"Chamaesyce stictospora","slimseed sandmat","OK(Beaver, Blaine, Cimarron, Dewey, Garfield, Latimer, Muskogee, Texas, Woods)"
"Chasmanthium","woodoats","OK(Adair, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Comanche, Craig, Creek, Custer, Delaware, Garvin, Grady, Haskell, Jefferson, Johnston, Kay, Kingfisher, Latimer, Le Flore, Logan, Love, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Sequoyah, Tulsa)"
"Chasmanthium latifolium","Indian woodoats","OK(Adair, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Comanche, Craig, Creek, Custer, Delaware, Garvin, Grady, Haskell, Jefferson, Johnston, Kay, Kingfisher, Latimer, Le Flore, Logan, Love, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Sequoyah, Tulsa)"
"Cheilanthes","lipfern","OK(Caddo, Cimarron, Comanche, Creek, Delaware, Ellis, Greer, Jackson, Johnston, Kiowa, Latimer, Le Flore, McCurtain, Murray, Osage, Ottawa, Pontotoc, Woods)"
"Cheilanthes alabamensis","Alabama lipfern","OK(Ottawa)"
"Cheilanthes eatonii","Eaton's lipfern","OK(Caddo, Cimarron, Comanche, Greer, Johnston, Kiowa, Murray, Osage)"
"Cheilanthes feei","slender lipfern","OK(Caddo, Cimarron, Comanche, Ellis, Murray, Osage, Woods)"
"Cheilanthes fendleri","Fendler's lipfern","OK(Comanche)"
"Cheilanthes lanosa","hairy lipfern","OK(Caddo, Comanche, Creek, Delaware, Johnston, Kiowa, Latimer, Le Flore, McCurtain, Osage, Ottawa, Pontotoc)"
"Cheilanthes lindheimeri","fairyswords","OK(Comanche)"
