"","",""
"Abronia","sand verbena","ND(McKenzie)"
"Cichorium","chicory","ND(Cass)"
"Cichorium intybus","chicory","ND(Cass)"
"Cicuta","water hemlock","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, McHenry, McIntosh, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Steele, Stutsman, Walsh, Ward, Williams)"
"Cicuta bulbifera","bulblet-bearing water hemlock","ND(Eddy, Foster, Grand Forks, Pembina, Richland, Walsh)"
"Cicuta maculata","spotted water hemlock","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, McHenry, McIntosh, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Steele, Stutsman, Ward, Williams)"
"Cinna","woodreed","ND(Bottineau, Burke, Mountrail, Pembina, Ransom, Richland, Rolette, Walsh, Williams)"
"Cinna arundinacea","sweet woodreed","ND(Bottineau, Burke, Pembina, Ransom, Rolette, Williams)"
"Cinna latifolia","drooping woodreed","ND(Bottineau, Burke, Mountrail, Pembina, Ransom, Richland, Rolette, Walsh, Williams)"
"Circaea","enchanter's nightshade","ND(Barnes, Benson, Cass, Griggs, Morton, Pembina, Ransom, Richland, Rolette, Walsh)"
"Circaea alpina","small enchanter's nightshade","ND(Barnes, Benson, Pembina, Richland, Rolette)"
"Circaea alpina ssp. alpina","small enchanter's nightshade","ND(Barnes, Benson, Pembina, Richland, Rolette)"
"Circaea lutetiana","broadleaf enchanter's nightshade","ND(Barnes, Cass, Griggs, Morton, Pembina, Ransom, Richland, Walsh)"
"Circaea lutetiana ssp. canadensis","broadleaf enchanter's nightshade","ND(Barnes, Cass, Griggs, Morton, Pembina, Ransom, Richland, Walsh)"
"Cirsium","thistle","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Cirsium altissimum","tall thistle","ND(Benson, Cass, Pembina, Ransom, Richland, Sargent)"
"Cirsium arvense","Canada thistle","ND(Barnes, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Griggs, Kidder, Logan, McHenry, McIntosh, McKenzie, Mercer, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Cirsium canescens","prairie thistle","ND(McLean)"
"Cirsium flodmanii","Flodman's thistle","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Cirsium muticum","swamp thistle","ND(Bottineau, Cass, Grand Forks, Pembina)"
"Cirsium undulatum","wavyleaf thistle","ND(Barnes, Billings, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Hettinger, Kidder, Logan, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Stutsman, Williams)"
"Cirsium undulatum var. undulatum","wavyleaf thistle","ND(Barnes, Billings, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Hettinger, Kidder, Logan, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Stutsman, Williams)"
"Cirsium vulgare","bull thistle","ND(Barnes, Bottineau, Cass, Divide, Grand Forks, LaMoure, McLean, Nelson, Pembina, Ransom, Richland, Sargent, Ward, Williams)"
"Clematis","leather flower","ND(Barnes, Billings, Burleigh, Cass, Dunn, Emmons, Golden Valley, Grand Forks, Grant, McKenzie, McLean, Morton, Oliver, Pembina, Ransom, Richland, Slope, Stark, Walsh, Williams)"
"Clematis columbiana","rock clematis","ND(Dunn)"
"Clematis columbiana var. tenuiloba","rock clematis","ND(Dunn)"
"Clematis ligusticifolia","western white clematis","ND(Billings, Burleigh, Emmons, Golden Valley, Grant, McKenzie, McLean, Morton, Oliver, Slope, Stark, Williams)"
"Clematis ligusticifolia var. ligusticifolia","western white clematis","ND(Billings, Burleigh, Emmons, Golden Valley, Grant, McKenzie, McLean, Morton, Oliver, Slope, Stark, Williams)"
"Clematis virginiana","devil's darning needles","ND(Barnes, Cass, Dunn, Emmons, Grand Forks, Pembina, Ransom, Richland, Walsh)"
"Cleome","spiderflower","ND(Billings, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Emmons, Foster, Golden Valley, Grant, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Morton, Mountrail, Pembina, Pierce, Ransom, Richland, Sargent, Sioux, Slope, Stark, Stutsman, Ward, Williams)"
"Cleome serrulata","Rocky Mountain beeplant","ND(Billings, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Emmons, Foster, Golden Valley, Grant, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Morton, Mountrail, Pembina, Pierce, Ransom, Richland, Sargent, Sioux, Slope, Stark, Stutsman, Ward, Williams)"
"Collinsia","blue eyed Mary","ND(Dunn, Slope)"
"Collinsia parviflora","maiden blue eyed Mary","ND(Dunn, Slope)"
"Collomia","trumpet","ND(Barnes, Benson, Billings, Bowman, Burke, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Collomia linearis","tiny trumpet","ND(Barnes, Benson, Billings, Bowman, Burke, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ransom, Richland, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Comandra","bastard toadflax","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McKenzie, McLean, Mercer, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Comandra umbellata","bastard toadflax","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McKenzie, McLean, Mercer, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Comandra umbellata ssp. pallida","pale bastard toadflax","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McKenzie, McLean, Mountrail, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Comandra umbellata ssp. umbellata","bastard toadflax","ND(Mercer, Oliver, Sargent)"
"Commelina","dayflower","ND(Cass, Dickey)"
"Commelina communis","Asiatic dayflower","ND(Cass, Dickey)"
"Conium","poison hemlock","ND(Billings, Cass, Golden Valley, Grand Forks)"
"Conium maculatum","poison hemlock","ND(Billings, Cass, Golden Valley, Grand Forks)"
"Conringia","hare's ear mustard","ND(Barnes, Benson, Billings, Burke, Burleigh, Cass, Cavalier, Dunn, Eddy, Golden Valley, Grand Forks, McHenry, McKenzie, Morton, Mountrail, Pembina, Pierce, Ransom, Richland, Sheridan, Slope, Steele, Stutsman, Ward, Williams)"
"Conringia orientalis","hare's ear mustard","ND(Barnes, Benson, Billings, Burke, Burleigh, Cass, Cavalier, Dunn, Eddy, Golden Valley, Grand Forks, McHenry, McKenzie, Morton, Mountrail, Pembina, Pierce, Ransom, Richland, Sheridan, Slope, Steele, Stutsman, Ward, Williams)"
"Consolida","knight's-spur","ND(Stark)"
"Consolida ajacis","doubtful knight's-spur","ND(Stark)"
"Convolvulus","bindweed","ND(Adams, Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grant, Hettinger, Kidder, LaMoure, Logan, McIntosh, McLean, Mercer, Morton, Mountrail, Oliver, Pierce, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Walsh, Ward, Wells, Williams)"
"Convolvulus arvensis","field bindweed","ND(Adams, Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grant, Hettinger, Kidder, LaMoure, Logan, McIntosh, McLean, Mercer, Morton, Mountrail, Oliver, Pierce, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Walsh, Ward, Wells, Williams)"
"Conyza","horseweed","ND(Barnes, Benson, Billings, Burke, Burleigh, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grant, Kidder, McHenry, McKenzie, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Richland, Sargent, Sioux, Slope, Stark, Stutsman, Walsh, Ward, Williams)"
"Conyza canadensis","Canadian horseweed","ND(Barnes, Benson, Billings, Burke, Burleigh, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grant, Kidder, McHenry, McKenzie, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Richland, Sargent, Sioux, Slope, Stark, Stutsman, Walsh, Ward, Williams)"
"Conyza canadensis var. canadensis","Canadian horseweed","ND(Barnes, Benson, Billings, Burke, Burleigh, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grant, Kidder, McHenry, McKenzie, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Richland, Sargent, Sioux, Slope, Stark, Stutsman, Walsh, Ward, Williams)"
"Conyza ramosissima","dwarf horseweed","ND(Billings, Burleigh, Grant, Richland)"
"Corallorhiza","coralroot","ND(Benson, Bottineau, Dunn, Pembina, Rolette, Stark)"
"Corallorhiza maculata","summer coralroot","ND(Bottineau, Dunn, Pembina, Rolette, Stark)"
"Corallorhiza maculata var. occidentalis","summer coralroot","ND(Bottineau, Dunn, Pembina, Rolette, Stark)"
"Corallorhiza striata","hooded coralroot","ND(Bottineau, Rolette, Stark)"
"Corallorhiza trifida","yellow coralroot","ND(Benson, Bottineau, Dunn, Pembina, Rolette)"
"Coreopsis","tickseed","ND(Adams, Bowman, Cass, Divide, Golden Valley, Grant, Hettinger, Richland, Slope)"
"Coreopsis tinctoria","golden tickseed","ND(Adams, Bowman, Cass, Divide, Golden Valley, Grant, Hettinger, Richland, Slope)"
"Coreopsis tinctoria var. tinctoria","golden tickseed","ND(Adams, Bowman, Cass, Divide, Golden Valley, Grant, Hettinger, Richland, Slope)"
"Coriandrum","coriander","ND(Cass)"
"Coriandrum sativum","coriander","ND(Cass)"
"Corispermum","bugseed","ND(Benson, Billings, Cass, Dunn, Grant, Hettinger, McHenry, Mercer, Morton, Pierce, Ransom, Richland, Stark)"
"Corispermum americanum","American bugseed","ND(Benson, Billings, Cass, Dunn, Grant, Hettinger, McHenry, Mercer, Morton, Pierce, Ransom, Richland, Stark)"
"Corispermum americanum var. americanum","American bugseed","ND(Benson, Billings, Cass, Dunn, Grant, Hettinger, McHenry, Mercer, Morton, Pierce, Ransom, Richland, Stark)"
"Cornus","dogwood","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ransom, Renville, Richland, Rolette, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Cornus canadensis","bunchberry dogwood","ND(Bottineau, Pembina, Rolette)"
"Cornus racemosa","gray dogwood","ND(Barnes, Cass, Pembina, Ransom, Richland, Stutsman)"
"Cornus sericea","redosier dogwood","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ransom, Renville, Richland, Rolette, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Cornus sericea ssp. sericea","redosier dogwood","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ransom, Renville, Richland, Rolette, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Corydalis","fumewort","ND(Barnes, Bottineau, Burke, Cass, Cavalier, Dunn, Emmons, Grand Forks, Grant, Mountrail, Pembina, Ramsey, Ransom, Rolette, Sargent, Walsh, Ward)"
"Corydalis aurea","scrambled eggs","ND(Barnes, Bottineau, Burke, Cass, Cavalier, Dunn, Emmons, Grand Forks, Grant, Mountrail, Pembina, Ramsey, Ransom, Rolette, Sargent, Walsh, Ward)"
"Corylus","hazelnut","ND(Barnes, Benson, Bottineau, Cass, Cavalier, Dunn, Emmons, Grand Forks, Griggs, Hettinger, Morton, Mountrail, Nelson, Pembina, Ramsey, Ransom, Richland, Rolette, Slope, Stark, Steele, Walsh, Ward, Williams)"
"Corylus americana","American hazelnut","ND(Benson, Bottineau, Cass, Dunn, Emmons, Grand Forks, Griggs, Morton, Mountrail, Nelson, Pembina, Ramsey, Ransom, Richland, Stark, Steele, Ward, Williams)"
"Corylus cornuta","beaked hazelnut","ND(Barnes, Benson, Bottineau, Cavalier, Dunn, Grand Forks, Hettinger, Pembina, Rolette, Slope, Walsh)"
"Corylus cornuta var. cornuta","beaked hazelnut","ND(Barnes, Benson, Bottineau, Cavalier, Dunn, Grand Forks, Hettinger, Pembina, Rolette, Slope, Walsh)"
"Crataegus","hawthorn","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Foster, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Traill, Ward, Williams)"
"Crataegus chrysocarpa","fireberry hawthorn","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Foster, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Traill, Ward, Williams)"
"Crataegus chrysocarpa var. chrysocarpa","red haw","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Foster, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McKenzie, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Traill, Ward, Williams)"
"Crataegus mollis","downy hawthorn","ND(Cass)"
"Crataegus succulenta","fleshy hawthorn","ND(Billings, Bottineau, Burke, Cavalier, Dunn, Kidder, McKenzie, Morton, Pembina, Ransom, Renville, Richland, Ward)"
"Crepis","hawksbeard","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Slope, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Crepis capillaris","smooth hawksbeard","ND(Cass, Mountrail)"
"Crepis occidentalis","largeflower hawksbeard","ND(Billings, Bowman, McKenzie, Mountrail, Slope, Stark, Williams)"
"Crepis occidentalis ssp. occidentalis","largeflower hawksbeard","ND(Billings, Bowman, McKenzie, Mountrail, Slope, Stark, Williams)"
"Crepis runcinata","fiddleleaf hawksbeard","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Crepis runcinata ssp. runcinata","fiddleleaf hawksbeard","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Crepis tectorum","narrowleaf hawksbeard","ND(Bottineau, Cavalier, Emmons, Pembina, Stark, Walsh)"
"Cryptantha","cryptantha","ND(Adams, Billings, Bowman, Burke, Burleigh, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, McHenry, McKenzie, Mercer, Morton, Mountrail, Sioux, Slope, Stark, Ward, Williams)"
"Cryptantha celosioides","buttecandle","ND(Adams, Billings, Bowman, Burke, Burleigh, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, McHenry, McKenzie, Mercer, Morton, Mountrail, Sioux, Slope, Stark, Ward, Williams)"
"Cryptantha torreyana","Torrey's cryptantha","ND(Bowman)"
"Cryptotaenia","honewort","ND(Barnes, Cass, Grand Forks, Pembina, Ransom, Richland, Sargent)"
"Cryptotaenia canadensis","Canadian honewort","ND(Barnes, Cass, Grand Forks, Pembina, Ransom, Richland, Sargent)"
"Cuscuta","dodder","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dunn, Emmons, Grand Forks, Grant, Griggs, Logan, McHenry, McIntosh, McKenzie, McLean, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Stark, Stutsman, Towner, Traill, Walsh, Ward)"
"Cuscuta cephalanthi","buttonbush dodder","ND(Emmons, McHenry, McIntosh, Pembina, Ransom, Towner)"
"Cuscuta coryli","hazel dodder","ND(Barnes, Bottineau, Cass, Logan, McKenzie, Ramsey, Ransom, Richland, Stutsman, Ward)"
"Cuscuta epithymum","clover dodder","ND(Bowman, Burke, Stutsman)"
"Cuscuta glomerata","rope dodder","ND(Ransom, Richland)"
"Cuscuta gronovii","scaldweed","ND(Barnes, Bottineau, Burke, Burleigh, Cass, Emmons, McKenzie, McLean, Pembina, Ransom, Richland, Rolette, Stutsman, Traill, Walsh, Ward)"
"Cuscuta gronovii var. gronovii","scaldweed","ND(Barnes, Bottineau, Burke, Burleigh, Cass, Emmons, McKenzie, McLean, Pembina, Ransom, Richland, Rolette, Stutsman, Traill, Walsh, Ward)"
"Cuscuta indecora","bigseed alfalfa dodder","ND(Barnes, Benson, Burke, Dunn, Grant, McIntosh)"
"Cuscuta indecora var. indecora","bigseed alfalfa dodder","ND(Barnes, Benson, Burke, Dunn, Grant, McIntosh)"
"Cuscuta pentagona","fiveangled dodder","ND(Barnes, Billings, Cass, Emmons, Grand Forks, Grant, Griggs, Logan, Pierce, Ransom, Richland, Sargent, Stark, Ward)"
"Cuscuta pentagona var. pentagona","fiveangled dodder","ND(Barnes, Billings, Cass, Emmons, Grand Forks, Grant, Griggs, Logan, Pierce, Ransom, Richland, Sargent, Stark, Ward)"
"Cuscuta polygonorum","smartweed dodder","ND(Burleigh)"
"Cyclachaena","carelessweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McLean, Mercer, Mountrail, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Cyclachaena xanthiifolia","Carelessweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McLean, Mercer, Mountrail, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Cycloloma","cycloloma","ND(Cass, Kidder, McHenry, Mercer, Ransom, Richland, Sargent)"
"Cycloloma atriplicifolium","winged pigweed","ND(Cass, Kidder, McHenry, Mercer, Ransom, Richland, Sargent)"
"Cymopterus","springparsley","ND(Barnes, Billings, Bowman, Dunn, Eddy, Emmons, Golden Valley, Griggs, Kidder, Logan, McHenry, McKenzie, McLean, Mercer, Mountrail, Sioux, Slope, Stutsman, Ward)"
"Cymopterus acaulis","plains springparsley","ND(Barnes, Billings, Bowman, Dunn, Eddy, Emmons, Golden Valley, Griggs, Kidder, Logan, McHenry, McKenzie, McLean, Mercer, Mountrail, Sioux, Slope, Stutsman, Ward)"
"Cymopterus acaulis var. acaulis","plains springparsley","ND(Barnes, Billings, Bowman, Dunn, Eddy, Emmons, Golden Valley, Griggs, Kidder, Logan, McHenry, McKenzie, McLean, Mercer, Mountrail, Sioux, Slope, Stutsman, Ward)"
"Cynoglossum","hound's tongue","ND(Adams, Barnes, Bottineau, Cass, Dunn, McHenry, McKenzie, Pembina, Ransom, Richland, Rolette, Steele, Wells, Williams)"
"Cynoglossum officinale","gypsyflower","ND(Adams, Barnes, Cass, McHenry, McKenzie, Pembina, Ransom, Richland, Steele, Wells, Williams)"
"Cynoglossum virginianum","wild comfrey","ND(Bottineau, Dunn, Rolette)"
"Cynoglossum virginianum var. boreale","wild comfrey","ND(Bottineau, Dunn, Rolette)"
"Cyperus","flatsedge","ND(Barnes, Benson, Billings, Burke, Cass, Dickey, Divide, Eddy, Emmons, Foster, Grand Forks, Grant, Kidder, McHenry, McLean, Morton, Pembina, Ransom, Richland, Sargent, Sioux, Stutsman, Ward, Williams)"
"Cyperus acuminatus","tapertip flatsedge","ND(Barnes, Cass, Divide, Emmons, Richland, Sioux)"
"Cyperus bipartitus","slender flatsedge","ND(Cass, Ransom, Stutsman)"
"Cyperus diandrus","umbrella flatsedge","ND(Ransom)"
"Cyperus erythrorhizos","redroot flatsedge","ND(Cass, Dickey, Emmons, Richland, Sargent, Stutsman)"
"Cyperus esculentus","yellow nutsedge","ND(Cass, Eddy, Richland)"
"Cyperus esculentus var. leptostachyus","yellow nutsedge","ND(Cass, Eddy, Richland)"
"Cyperus odoratus","fragrant flatsedge","ND(Cass, Grand Forks, Richland, Sargent, Stutsman)"
"Cyperus schweinitzii","Schweinitz's flatsedge","ND(Cass, Eddy, Emmons, Foster, Grant, Kidder, McHenry, Morton, Pembina, Ransom, Richland, Williams)"
"Cyperus squarrosus","bearded flatsedge","ND(Benson, Billings, Burke, Cass, Divide, Emmons, Grant, Kidder, McHenry, McLean, Morton, Ransom, Richland, Stutsman, Ward, Williams)"
"Cypripedium","lady's slipper","ND(Benson, Bottineau, Cass, Dickey, Eddy, Grand Forks, Griggs, McHenry, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Walsh)"
"Cypripedium ×andrewsii","hybrid ladyslipper","ND(Nelson)"
"Cypripedium ×andrewsii var. ×andrewsii","hybrid ladyslipper","ND(Nelson)"
"Cypripedium candidum","white lady's slipper","ND(Cass, Dickey, Eddy, Griggs, Ransom, Richland, Walsh)"
"Cypripedium parviflorum","lesser yellow lady's slipper","ND(Benson, Bottineau, Grand Forks, McHenry, Pembina, Ransom, Rolette, Sargent, Walsh)"
"Cypripedium parviflorum var. pubescens","greater yellow lady's slipper","ND(Benson, Bottineau, Grand Forks, McHenry, Pembina, Ransom, Rolette, Sargent, Walsh)"
"Cypripedium reginae","showy lady's slipper","ND(Benson, Eddy, Pembina, Ransom)"
"Cystopteris","bladderfern","ND(Adams, Barnes, Benson, Billings, Burke, Dunn, Emmons, Golden Valley, Grant, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pierce, Ransom, Richland, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Cystopteris fragilis","brittle bladderfern","ND(Adams, Barnes, Benson, Billings, Burke, Dunn, Emmons, Golden Valley, Grant, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pierce, Ransom, Richland, Sargent, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Dactylis","orchardgrass","ND(Bottineau, Burleigh, Cass, Sargent, Stutsman)"
"Dactylis glomerata","orchardgrass","ND(Bottineau, Burleigh, Cass, Sargent, Stutsman)"
"Dactylis glomerata ssp. glomerata","orchardgrass","ND(Bottineau, Burleigh, Cass, Sargent, Stutsman)"
"Dactylorhiza","keyflower","ND(Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, McLean, Morton, Pembina, Rolette, Steele)"
"Dactylorhiza viridis","longbract frog orchid","ND(Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, McLean, Morton, Pembina, Rolette, Steele)"
"Dalea","prairie clover","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Wells, Williams)"
