"","",""
"Abies","fir","VA(Grayson, Madison, Page, Smyth)"
"Cornus sericea","redosier dogwood","VA(Fairfax, Fauquier)"
"Cornus sericea ssp. sericea","redosier dogwood","VA(Fairfax, Fauquier)"
"Coronopus","swinecress","VA(Accomack, Albemarle, Amherst, Charles City, Chesapeake (city), Chesterfield, Cumberland, Dinwiddie, Fairfax, Greensville, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King William, Lunenburg, Montgomery, Newport News (city), Northampton, Pittsylvania, Prince Edward, Prince George, Southampton, Suffolk (city), Virginia Beach (city), Westmoreland, York)"
"Coronopus didymus","lesser swinecress","VA(Accomack, Albemarle, Amherst, Charles City, Chesapeake (city), Chesterfield, Cumberland, Dinwiddie, Fairfax, Greensville, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King William, Lunenburg, Montgomery, Newport News (city), Northampton, Pittsylvania, Prince Edward, Prince George, Southampton, Suffolk (city), Virginia Beach (city), Westmoreland, York)"
"Corydalis","fumewort","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Frederick, Giles, Goochland, Grayson, Greene, Greensville, Halifax, Henrico, Henry, Highland, James City, King George, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Shenandoah, Smyth, Spotsylvania, Stafford, Suffolk (city), Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Wise, Wythe)"
"Corydalis flavula","yellow fumewort","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Frederick, Giles, Goochland, Grayson, Greene, Greensville, Halifax, Henrico, Henry, James City, King George, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Shenandoah, Smyth, Spotsylvania, Stafford, Suffolk (city), Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Wise, Wythe)"
"Corydalis sempervirens","rock harlequin","VA(Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bedford, Bland, Botetourt, Carroll, Craig, Dickenson, Fauquier, Frederick, Giles, Grayson, Greene, Highland, Lee, Loudoun, Madison, Nelson, Orange, Page, Pittsylvania, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Tazewell, Warren, Washington, Wythe)"
"Corylus","hazelnut","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Sussex, Tazewell, Warren, Washington, Westmoreland, Wise, Wythe)"
"Corylus americana","American hazelnut","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesterfield, Clarke, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Sussex, Tazewell, Washington, Westmoreland, Wise, Wythe)"
"Corylus cornuta","beaked hazelnut","VA(Albemarle, Alleghany, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Carroll, Clarke, Craig, Fairfax, Fauquier, Floyd, Franklin, Frederick, Giles, Grayson, Greene, Halifax, Henry, Highland, Loudoun, Madison, Montgomery, Nelson, Page, Pittsylvania, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Spotsylvania, Warren, Wythe)"
"Corylus cornuta var. cornuta","beaked hazelnut","VA(Albemarle, Alleghany, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Carroll, Clarke, Craig, Fairfax, Fauquier, Floyd, Franklin, Frederick, Giles, Grayson, Greene, Halifax, Henry, Highland, Loudoun, Madison, Montgomery, Nelson, Page, Pittsylvania, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Spotsylvania, Warren, Wythe)"
"Cosmos","cosmos","VA(Dinwiddie, Greensville, Isle of Wight, Prince Edward, Suffolk (city))"
"Cosmos bipinnatus","garden cosmos","VA(Greensville, Prince Edward, Suffolk (city))"
"Cosmos sulphureus","sulphur cosmos","VA(Dinwiddie, Isle of Wight)"
"Crataegus","hawthorn","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King and Queen, Lee, Loudoun, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Wise, Wythe, York)"
"Crataegus aestivalis","may hawthorn","VA(Virginia Beach (city))"
"Crataegus calpodendron","pear hawthorn","VA(Fauquier, Highland, Page, Shenandoah)"
"Crataegus chrysocarpa","fireberry hawthorn","VA(Shenandoah)"
"Crataegus crus-galli","cockspur hawthorn","VA(Accomack, Albemarle, Alleghany, Amherst, Augusta, Bath, Bedford, Brunswick, Campbell, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Fairfax, Fauquier, Floyd, Frederick, Giles, Grayson, Greene, Greensville, Henrico, James City, Lee, Loudoun, Mecklenburg, New Kent, Page, Pittsylvania, Prince George, Prince William, Roanoke, Rockingham, Smyth, Surry, Tazewell, Virginia Beach (city), Warren, York)"
"Crataegus flabellata","fanleaf hawthorn","VA(Albemarle, Alleghany, Amherst, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Buckingham, Campbell, Culpeper, Dinwiddie, Fairfax, Fauquier, Floyd, Franklin, Frederick, Giles, Grayson, Greene, Greensville, Highland, Lee, Loudoun, Madison, Montgomery, Nelson, Orange, Page, Pittsylvania, Prince Edward, Prince George, Prince William, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Tazewell, Virginia Beach (city), Warren, Washington, Wise, Wythe)"
"Crataegus flava","yellowleaf hawthorn","VA(Albemarle, Amherst, Bedford, Bland, Botetourt, Brunswick, Culpeper, Dickenson, Greene, Greensville, Halifax, Isle of Wight, Lunenburg, Nelson, New Kent, Pittsylvania, Prince Edward, Rockbridge, Scott, Shenandoah, Southampton, Suffolk (city))"
"Crataegus intricata","Copenhagen hawthorn","VA(Alleghany, Amelia, Amherst, Bath, Bedford, Bland, Botetourt, Clarke, Fairfax, Loudoun, Rockingham, Shenandoah, Stafford)"
"Crataegus iracunda","stolonbearing hawthorn","VA(Shenandoah)"
"Crataegus macrosperma","bigfruit hawthorn","VA(Giles, Montgomery, Nelson, Shenandoah)"
"Crataegus marshallii","parsley hawthorn","VA(Dinwiddie, Greensville, Isle of Wight, Mecklenburg, Newport News (city), Southampton, Suffolk (city), Sussex)"
"Crataegus mollis","downy hawthorn","VA(Floyd)"
"Crataegus monogyna","oneseed hawthorn","VA(Fairfax)"
"Crataegus phaenopyrum","Washington hawthorn","VA(Accomack, Alleghany, Amelia, Arlington, Campbell, Chesapeake (city), Fairfax, Floyd, Isle of Wight, James City, Nelson, Rockingham, Southampton, Suffolk (city), Virginia Beach (city))"
"Crataegus pruinosa","waxyfruit hawthorn","VA(Bath, Bedford, Rockingham, Shenandoah, Washington, Wythe)"
"Crataegus punctata","dotted hawthorn","VA(Albemarle, Bath, Bedford, Botetourt, Fairfax, Frederick, Grayson, Hanover, Highland, Madison, Smyth, Tazewell, Washington, Wise)"
"Crataegus spathulata","littlehip hawthorn","VA(Isle of Wight, Newport News (city), Southampton)"
"Crataegus succulenta","fleshy hawthorn","VA(Craig, Page, Roanoke)"
"Crataegus uniflora","dwarf hawthorn","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bedford, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Charlotte, Chesterfield, Craig, Cumberland, Dinwiddie, Fairfax, Fluvanna, Franklin, Frederick, Goochland, Greensville, Halifax, Hanover, Henrico, Henry, Lee, Lunenburg, Mecklenburg, Montgomery, New Kent, Nottoway, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Roanoke, Rockingham, Shenandoah, Smyth, Suffolk (city), Surry, Sussex, Warren, Washington)"
"Crataegus viridis","green hawthorn","VA(Albemarle, Amelia, Fauquier, Greensville, Hampton (city), Isle of Wight, King George, King and Queen, Middlesex, Montgomery, Prince George, Roanoke, Southampton, York)"
"Crataegus viridis var. viridis","green hawthorn","VA(Albemarle, Amelia, Fauquier, Greensville, Hampton (city), Isle of Wight, King George, King and Queen, Middlesex, Montgomery, Prince George, Roanoke, Southampton, York)"
"Crepis","hawksbeard","VA(Albemarle, Amherst, Appomattox, Arlington, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Carroll, Charlotte, Craig, Culpeper, Fairfax, Floyd, Fluvanna, Franklin, Giles, Goochland, Grayson, Halifax, Henrico, Mecklenburg, Montgomery, Nelson, Newport News (city), Orange, Pittsylvania, Prince Edward, Prince George, Pulaski, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Stafford, Sussex, Tazewell, Washington, Wythe)"
"Crepis capillaris","smooth hawksbeard","VA(Albemarle, Arlington, Bath, Bland, Buchanan, Carroll, Craig, Floyd, Giles, Grayson, Montgomery, Pulaski, Rockingham, Russell, Scott, Shenandoah, Smyth, Stafford, Tazewell, Washington, Wythe)"
"Crepis pulchra","smallflower hawksbeard","VA(Albemarle, Amherst, Appomattox, Bath, Bedford, Botetourt, Brunswick, Buckingham, Campbell, Charlotte, Culpeper, Fairfax, Fluvanna, Franklin, Giles, Goochland, Halifax, Henrico, Mecklenburg, Montgomery, Nelson, Newport News (city), Orange, Pittsylvania, Prince Edward, Prince George, Pulaski, Rockbridge, Rockingham, Sussex)"
"Crocus","crocus","VA(Fairfax)"
"Crocus vernus","dutch crocus","VA(Fairfax)"
"Croptilon","scratchdaisy","VA(Brunswick, Greensville, Isle of Wight, Southampton)"
"Croptilon divaricatum","slender scratchdaisy","VA(Brunswick, Greensville, Isle of Wight, Southampton)"
"Crotalaria","rattlebox","VA(Accomack, Albemarle, Amelia, Appomattox, Arlington, Augusta, Brunswick, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Frederick, Gloucester, Goochland, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Loudoun, Louisa, Lunenburg, Mecklenburg, Middlesex, Nelson, New Kent, Newport News (city), Northampton, Nottoway, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Rappahannock, Richmond, Rockingham, Shenandoah, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Warren, York)"
"Crotalaria purshii","Pursh's rattlebox","VA(Chesterfield, Dinwiddie, Isle of Wight, James City, Newport News (city), Southampton, Suffolk (city), Sussex)"
"Crotalaria rotundifolia","rabbitbells","VA(Isle of Wight, Southampton, Suffolk (city))"
"Crotalaria sagittalis","arrowhead rattlebox","VA(Accomack, Albemarle, Amelia, Appomattox, Arlington, Augusta, Brunswick, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Frederick, Gloucester, Goochland, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, James City, King George, King William, King and Queen, Lancaster, Loudoun, Louisa, Lunenburg, Mecklenburg, Middlesex, Nelson, New Kent, Newport News (city), Northampton, Nottoway, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Rappahannock, Richmond, Rockingham, Shenandoah, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Warren, York)"
"Crotalaria spectabilis","showy rattlebox","VA(Chesterfield, Henrico, Newport News (city), Southampton, Stafford, Sussex)"
"Croton","croton","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Brunswick, Buckingham, Campbell, Caroline, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Giles, Gloucester, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lee, Loudoun, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Nelson, New Kent, Newport News (city), Norfolk (city), Northampton, Northumberland, Nottoway, Orange, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Wise, York)"
"Croton bonplandianus","Bonpland's croton","VA(Newport News (city))"
"Croton capitatus","hogwort","VA(Cumberland, Fairfax, Fauquier, Loudoun, Madison, Nelson, Rockingham, Shenandoah)"
"Croton capitatus var. capitatus","hogwort","VA(Cumberland, Fairfax, Fauquier, Loudoun, Madison, Nelson, Rockingham)"
"Croton glandulosus","vente conmigo","VA(Accomack, Albemarle, Amherst, Appomattox, Augusta, Brunswick, Buckingham, Campbell, Caroline, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Cumberland, Dinwiddie, Essex, Fauquier, Fluvanna, Franklin, Giles, Gloucester, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Loudoun, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Nelson, New Kent, Norfolk (city), Northampton, Northumberland, Nottoway, Orange, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Richmond, Roanoke, Rockbridge, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Wise, York)"
"Croton glandulosus var. septentrionalis","vente conmigo","VA(Accomack, Albemarle, Amherst, Appomattox, Augusta, Brunswick, Buckingham, Campbell, Caroline, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Cumberland, Dinwiddie, Essex, Fauquier, Fluvanna, Franklin, Giles, Gloucester, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Loudoun, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Nelson, New Kent, Norfolk (city), Northampton, Northumberland, Nottoway, Orange, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Richmond, Roanoke, Rockbridge, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Wise, York)"
"Croton michauxii","Michaux's croton","VA(Amelia, Brunswick, Chesterfield, Dinwiddie, Fairfax, Fauquier, Lunenburg, Mecklenburg, Nottoway, Pittsylvania, Powhatan, Sussex)"
"Croton michauxii var. ellipticus","Michaux's croton","VA(Amelia, Brunswick, Chesterfield, Dinwiddie, Fairfax, Fauquier, Lunenburg, Mecklenburg, Nottoway, Pittsylvania, Powhatan, Sussex)"
"Croton monanthogynus","prairie tea","VA(Amherst, Arlington, Fairfax, Lee, Russell, Scott, Southampton)"
"Cruciata","bedstraw","VA(Albemarle, Augusta, Bedford, Botetourt, Campbell, Caroline, Carroll, Chesterfield, Clarke, Culpeper, Fauquier, Frederick, Giles, Grayson, Halifax, Henrico, Lee, Montgomery, Northampton, Nottoway, Orange, Page, Prince Edward, Roanoke, Rockbridge, Russell, Shenandoah, Spotsylvania, Tazewell)"
"Cruciata pedemontana","piedmont bedstraw","VA(Albemarle, Augusta, Bedford, Botetourt, Campbell, Caroline, Carroll, Chesterfield, Clarke, Culpeper, Fauquier, Frederick, Giles, Grayson, Halifax, Henrico, Lee, Montgomery, Northampton, Nottoway, Orange, Page, Prince Edward, Roanoke, Rockbridge, Russell, Shenandoah, Spotsylvania, Tazewell)"
"Cryptotaenia","honewort","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, James City, King George, King William, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Surry, Sussex, Tazewell, Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Cryptotaenia canadensis","Canadian honewort","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, James City, King George, King William, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Surry, Sussex, Tazewell, Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Ctenium","toothache grass","VA(Dinwiddie, Greensville, Prince George, Suffolk (city), Sussex)"
"Ctenium aromaticum","toothache grass","VA(Dinwiddie, Greensville, Prince George, Suffolk (city), Sussex)"
"Cucumis","melon","VA(Fairfax, King William)"
"Cucumis melo","cantaloupe","VA(Fairfax, King William)"
"Cucurbita","gourd","VA(Arlington, Fairfax, Prince William)"
"Cucurbita foetidissima","Missouri gourd","VA(Fairfax)"
"Cucurbita pepo","field pumpkin","VA(Arlington, Fairfax, Prince William)"
"Cucurbita pepo var. pepo","field pumpkin","VA(Arlington, Fairfax, Prince William)"
"Cunila","cunila","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Carroll, Charlotte, Chesterfield, Clarke, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Halifax, Hanover, Henrico, Henry, James City, King George, King William, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Southampton, Spotsylvania, Surry, Sussex, Tazewell, Warren, Westmoreland, Wythe, York)"
"Cunila origanoides","common dittany","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Carroll, Charlotte, Chesterfield, Clarke, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Halifax, Hanover, Henrico, Henry, James City, King George, King William, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Southampton, Spotsylvania, Surry, Sussex, Tazewell, Warren, Westmoreland, Wythe, York)"
"Cuphea","waxweed","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Botetourt, Brunswick, Buchanan, Carroll, Charlotte, Clarke, Craig, Culpeper, Fairfax, Fauquier, Floyd, Fluvanna, Frederick, Giles, Grayson, Greene, Henrico, Highland, Isle of Wight, Lee, Loudoun, Louisa, Madison, Montgomery, Nelson, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Suffolk (city), Tazewell, Warren, Washington, Wythe)"
"Cuphea carthagenensis","Colombian waxweed","VA(Suffolk (city))"
"Cuphea viscosissima","blue waxweed","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Botetourt, Brunswick, Buchanan, Carroll, Charlotte, Clarke, Craig, Culpeper, Fairfax, Fauquier, Floyd, Fluvanna, Frederick, Giles, Grayson, Greene, Henrico, Highland, Isle of Wight, Lee, Loudoun, Louisa, Madison, Montgomery, Nelson, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Tazewell, Warren, Washington, Wythe)"
"Cuscuta","dodder","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Cuscuta cephalanthi","buttonbush dodder","VA(Arlington, Gloucester, King and Queen, New Kent, Surry, Virginia Beach (city))"
"Cuscuta compacta","compact dodder","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Augusta, Bedford, Brunswick, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Cumberland, Fairfax, Fauquier, Fluvanna, Gloucester, Greensville, Hanover, Henrico, Isle of Wight, James City, King George, King and Queen, Lancaster, Loudoun, Mathews, Middlesex, New Kent, Northampton, Northumberland, Pittsylvania, Powhatan, Prince George, Richmond, Rockingham, Southampton, Suffolk (city), Sussex, Virginia Beach (city))"
"Cuscuta compacta var. compacta","compact dodder","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Augusta, Bedford, Brunswick, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Cumberland, Fairfax, Fauquier, Fluvanna, Gloucester, Greensville, Hanover, Henrico, Isle of Wight, James City, King George, King and Queen, Lancaster, Loudoun, Mathews, Middlesex, New Kent, Northampton, Northumberland, Pittsylvania, Powhatan, Prince George, Richmond, Rockingham, Southampton, Suffolk (city), Sussex, Virginia Beach (city))"
"Cuscuta coryli","hazel dodder","VA(Accomack, Bath, Fairfax, Fauquier, Giles, Madison, Newport News (city), Page, Rappahannock, Rockingham, Virginia Beach (city), Warren)"
"Cuscuta gronovii","scaldweed","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Brunswick, Buchanan, Campbell, Caroline, Carroll, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Hanover, Henrico, Isle of Wight, James City, King George, King and Queen, Lancaster, Lee, Loudoun, Madison, Mathews, Middlesex, Montgomery, Nelson, New Kent, Northumberland, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Spotsylvania, Stafford, Surry, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
