"","",""
"Abutilon","Indian mallow","SC(Kershaw)"
"Carduus","plumeless thistle","SC(Aiken)"
"Carduus nutans","nodding plumeless thistle","SC(Aiken)"
"Carex","sedge","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Carex abscondita","thicket sedge","SC(Allendale, Barnwell, Colleton, Lancaster)"
"Carex aestivalis","summer sedge","SC(Greenville, Pickens)"
"Carex alata","broadwing sedge","SC(Bamberg, Barnwell, Charleston, Clarendon, Florence, Georgetown, Horry, Jasper)"
"Carex albicans","whitetinge sedge","SC(Abbeville, Anderson, Calhoun, Darlington, Edgefield, Fairfield, Greenville, Greenwood, Hampton, McCormick, Orangeburg)"
"Carex albicans var. albicans","whitetinge sedge","SC(Abbeville, Anderson, Darlington, Edgefield, Fairfield, Greenville, McCormick, Orangeburg)"
"Carex albicans var. emmonsii","Emmons' sedge","SC(Calhoun, Greenwood, Hampton)"
"Carex albolutescens","greenwhite sedge","SC(Abbeville, Aiken, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Chesterfield, Colleton, Darlington, Dillon, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Lancaster, Marion, Marlboro, McCormick, Orangeburg, Saluda, Sumter, Williamsburg)"
"Carex amphibola","eastern narrowleaf sedge","SC(Aiken, Anderson, Charleston, Dorchester, Edgefield, Greenville, Lancaster, McCormick, Sumter)"
"Carex annectens","yellowfruit sedge","SC(Abbeville, Barnwell, Beaufort, Georgetown, Lee, Marion, Oconee, Orangeburg, Sumter, Williamsburg)"
"Carex appalachica","Appalachian sedge","SC(Greenville, Pickens)"
"Carex atlantica","prickly bog sedge","SC(Aiken, Allendale, Charleston, Chesterfield, Colleton, Darlington, Dillon, Georgetown, Hampton, Jasper, Kershaw, Lancaster, Lee, Lexington, Orangeburg, Richland, Williamsburg)"
"Carex atlantica ssp. atlantica","prickly bog sedge","SC(Allendale, Chesterfield, Colleton, Jasper, Lee, Richland, Williamsburg)"
"Carex atlantica ssp. capillacea","prickly bog sedge","SC(Aiken, Allendale, Charleston, Chesterfield, Darlington, Georgetown, Hampton, Kershaw, Orangeburg, Richland)"
"Carex austrocaroliniana","tarheel sedge","SC(Oconee, Pickens)"
"Carex austrodeflexa","canebrake sedge","SC(Aiken, Barnwell, Chesterfield, Greenville)"
"Carex barrattii","Barratt's sedge","SC(Pickens)"
"Carex basiantha","Willdenow's sedge","SC(Dorchester)"
"Carex bicknellii","Bicknell's sedge","SC(Union)"
"Carex blanda","eastern woodland sedge","SC(Aiken, Anderson, Beaufort, Kershaw, Lancaster, McCormick, Pickens)"
"Carex bromoides","brome-like sedge","SC(Allendale, Bamberg, Berkeley, Calhoun, Dorchester, Georgetown, Jasper)"
"Carex bullata","button sedge","SC(Colleton, Darlington, Horry)"
"Carex buxbaumii","Buxbaum's sedge","SC(Pickens)"
"Carex calcifugens","calcium-hating sedge","SC(Aiken, Allendale, Barnwell, Charleston, Dorchester, Orangeburg)"
"Carex caroliniana","Carolina sedge","SC(Abbeville, Anderson, Barnwell, Berkeley, Chesterfield, Lancaster, Sumter)"
"Carex cephalophora","oval-leaf sedge","SC(Aiken, Anderson, Dorchester, Greenville, Lancaster, Lexington)"
"Carex chapmanii","Chapman's sedge","SC(Bamberg, Berkeley, Dorchester)"
"Carex cherokeensis","Cherokee sedge","SC(Berkeley, Dorchester, Sumter)"
"Carex collinsii","Collins' sedge","SC(Darlington)"
"Carex communis","fibrousroot sedge","SC(Greenville)"
"Carex communis var. amplisquama","Dixie sedge","SC(Greenville)"
"Carex comosa","longhair sedge","SC(Allendale, Bamberg, Barnwell, Calhoun, Clarendon, Georgetown, Horry, Jasper)"
"Carex complanata","hirsute sedge","SC(Abbeville, Allendale, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Edgefield, Florence, Georgetown, Greenwood, Hampton, Jasper, Kershaw, Lancaster, Laurens, Lee, Marlboro, McCormick, Orangeburg, Saluda, Union, Williamsburg)"
"Carex crebriflora","coastal plain sedge","SC(Aiken, Chesterfield)"
"Carex crinita","fringed sedge","SC(Abbeville, Barnwell, Calhoun, Cherokee, Chesterfield, Edgefield, Fairfield, Greenville, Greenwood, Kershaw, Lancaster, Laurens, Lee, Lexington, Oconee, Pickens, Spartanburg, York)"
"Carex crus-corvi","ravenfoot sedge","SC(Marion, Sumter)"
"Carex dasycarpa","sandywoods sedge","SC(Beaufort)"
"Carex debilis","white edge sedge","SC(Allendale, Anderson, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Georgetown, Greenwood, Hampton, Jasper, Lancaster, Lee, Lexington, Pickens, Saluda, Sumter, Williamsburg)"
"Carex debilis var. debilis","white edge sedge","SC(Allendale, Anderson, Beaufort, Berkeley, Calhoun, Charleston, Colleton, Darlington, Georgetown, Greenwood, Hampton, Jasper, Lancaster, Lee, Lexington, Saluda, Sumter, Williamsburg)"
"Carex debilis var. pubera","white edge sedge","SC(Allendale, Chesterfield, Clarendon, Lancaster, Williamsburg)"
"Carex decomposita","cypressknee sedge","SC(Barnwell)"
"Carex digitalis","slender woodland sedge","SC(Abbeville, Aiken, Beaufort, Fairfield, Greenwood, Lancaster, Lexington, Oconee, Orangeburg, Pickens)"
"Carex eburnea","bristleleaf sedge","SC(Pickens)"
"Carex elliottii","Elliott's sedge","SC(Darlington)"
"Carex festucacea","fescue sedge","SC(Aiken, Anderson, Beaufort, Calhoun, Chester, Clarendon, Dillon, Edgefield, Marion, Newberry, Orangeburg, Richland, Williamsburg)"
"Carex flaccosperma","thinfruit sedge","SC(Abbeville, Anderson, Barnwell, Berkeley, Dorchester, Jasper, Newberry)"
"Carex floridana","Florida sedge","SC(Aiken, Calhoun, Charleston, Fairfield, Jasper, Orangeburg)"
"Carex frankii","Frank's sedge","SC(Abbeville, Aiken, Anderson, Barnwell, Berkeley, Chester, Edgefield, Greenwood, Lancaster, Laurens, Lexington, Orangeburg, Pickens, Richland, Saluda, Sumter, York)"
"Carex gholsonii","Gholson's sedge","SC(Aiken, Allendale, Horry, Orangeburg)"
"Carex gigantea","giant sedge","SC(Aiken, Clarendon, Dillon, Georgetown, Horry, Jasper, Marion, Marlboro, Sumter, Williamsburg)"
"Carex glaucescens","southern waxy sedge","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Charleston, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lee, Lexington, Marion, Marlboro, Orangeburg, Richland, Saluda, Sumter, Williamsburg)"
"Carex gracilescens","slender looseflower sedge","SC(McCormick)"
"Carex gravida","heavy sedge","SC(Georgetown)"
"Carex gravida var. lunelliana","heavy sedge","SC(Georgetown)"
"Carex grayi","Gray's sedge","SC(Barnwell, Chesterfield, Lexington, Richland)"
"Carex gynandra","nodding sedge","SC(Oconee)"
"Carex hyalinolepis","shoreline sedge","SC(Charleston, Darlington)"
"Carex intumescens","greater bladder sedge","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Dillon, Dorchester, Florence, Georgetown, Greenville, Jasper, Kershaw, Lee, Lexington, Marlboro, Orangeburg, Saluda, Sumter, Williamsburg)"
"Carex joorii","cypress swamp sedge","SC(Aiken, Barnwell, Berkeley, Colleton, Florence, Hampton, Horry, Jasper, Lexington, Marion, Sumter, Williamsburg)"
"Carex kraliana","Kral's sedge","SC(Edgefield, Lancaster, York)"
"Carex laevivaginata","smoothsheath sedge","SC(Abbeville, Aiken, Anderson, Barnwell, Chester, Dorchester, Lancaster)"
"Carex laxiculmis","spreading sedge","SC(Oconee)"
"Carex laxiflora","broad looseflower sedge","SC(Abbeville, Anderson, Chesterfield, Dorchester, Edgefield, McCormick, Pickens, York)"
"Carex laxiflora var. serrulata","broad looseflower sedge","SC(Abbeville, Edgefield, York)"
"Carex leavenworthii","Leavenworth's sedge","SC(Aiken, Chester, Chesterfield, Fairfield)"
"Carex leptalea","bristlystalked sedge","SC(Allendale, Bamberg, Cherokee, Georgetown, Greenville, Greenwood, Lancaster)"
"Carex leptalea ssp. harperi","Harper's sedge","SC(Allendale, Bamberg, Cherokee, Georgetown, Greenville, Greenwood, Lancaster)"
"Carex lonchocarpa","southern long sedge","SC(Aiken, Allendale, Barnwell, Calhoun, Charleston, Chesterfield, Colleton, Darlington, Dillon, Florence, Georgetown, Hampton, Horry, Jasper, Lee, Lexington, Marion, Marlboro, Richland, Sumter, Williamsburg)"
"Carex louisianica","Louisiana sedge","SC(Aiken, Barnwell, Berkeley, Chesterfield, Clarendon, Colleton, Darlington, Florence, Jasper, Lee, Marion, Richland, Williamsburg)"
"Carex lucorum","Blue Ridge sedge","SC(Greenville, Oconee, Pickens, York)"
"Carex lucorum var. austrolucorum","Blue Ridge sedge","SC(Greenville, Oconee, Pickens, York)"
"Carex lupuliformis","false hop sedge","SC(Colleton, Jasper, Sumter)"
"Carex lupulina","hop sedge","SC(Abbeville, Aiken, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chester, Chesterfield, Clarendon, Edgefield, Georgetown, Greenwood, Horry, Kershaw, Lancaster, Laurens, Lexington, McCormick, Richland, Spartanburg, Sumter)"
"Carex lurida","shallow sedge","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg)"
"Carex manhartii","Manhart's sedge","SC(Oconee)"
"Carex mesochorea","midland sedge","SC(Greenville, Richland, Union)"
"Carex mitchelliana","Mitchell's sedge","SC(Aiken, Anderson, Barnwell, Darlington)"
"Carex muehlenbergii","Muhlenberg's sedge","SC(Abbeville, Aiken, Anderson, Barnwell, Berkeley, Cherokee, Chesterfield, Clarendon, Darlington, Dorchester, Georgetown, Greenville, Lancaster, Lee, Lexington, Orangeburg, Saluda, Sumter, York)"
"Carex nigromarginata","black edge sedge","SC(Abbeville, Aiken, Anderson, Calhoun, Chester, Chesterfield, Darlington, Fairfield, Greenville, Horry, Kershaw, Lancaster, Lexington, Sumter)"
"Carex oligocarpa","richwoods sedge","SC(Allendale, Dorchester)"
"Carex oxylepis","sharpscale sedge","SC(Abbeville, Beaufort, Berkeley, Calhoun, Clarendon, Colleton, Dorchester, Lancaster, McCormick)"
"Carex oxylepis var. oxylepis","sharpscale sedge","SC(Abbeville, Beaufort, Berkeley, Calhoun, Clarendon, Colleton, Dorchester, Lancaster, McCormick)"
"Carex pensylvanica","Pennsylvania sedge","SC(Chester, Greenwood, Lancaster, McCormick, Oconee)"
"Carex plantaginea","plantainleaf sedge","SC(Pickens)"
"Carex projecta","necklace sedge","SC(Lancaster)"
"Carex radiata","eastern star sedge","SC(Chesterfield, Edgefield, Lancaster, McCormick, Saluda)"
"Carex reniformis","kidneyshape sedge","SC(Barnwell, Jasper)"
"Carex retroflexa","reflexed sedge","SC(Fairfield, Greenville, Kershaw, Lancaster, McCormick, Spartanburg)"
"Carex reznicekii","Reznicek's sedge","SC(Chester, Chesterfield, Fairfield, Greenville, Horry, Lancaster, Pickens)"
"Carex rosea","rosy sedge","SC(Cherokee, Chesterfield, Dorchester, Edgefield, Greenville, Lancaster, McCormick, Oconee)"
"Carex ruthii","Ruth's sedge","SC(Pickens)"
"Carex scabrata","eastern rough sedge","SC(Greenville, Pickens)"
"Carex scoparia","broom sedge","SC(Anderson, Oconee, Pickens, Spartanburg)"
"Carex scoparia var. scoparia","broom sedge","SC(Anderson, Oconee, Pickens, Spartanburg)"
"Carex seorsa","weak stellate sedge","SC(Allendale, Barnwell, Calhoun, Clarendon, Darlington, Dillon, Dorchester, Florence, Greenville, Sumter)"
"Carex squarrosa","squarrose sedge","SC(Lancaster)"
"Carex stipata","awlfruit sedge","SC(Beaufort, Charleston, Dorchester, Georgetown, Horry, Kershaw, McCormick, Spartanburg)"
"Carex stipata var. maxima","stalkgrain sedge","SC(Beaufort, Charleston, Dorchester, Georgetown, Horry, McCormick)"
"Carex stipata var. stipata","owlfruit sedge","SC(Kershaw, Spartanburg)"
"Carex striata","Walter's sedge","SC(Charleston, Darlington, Jasper, Marion, Williamsburg)"
"Carex striata var. striata","Walter's sedge","SC(Charleston, Darlington, Jasper, Marion, Williamsburg)"
"Carex striatula","lined sedge","SC(Allendale, Bamberg, Beaufort, Calhoun, Charleston, Colleton, Darlington, Dorchester, Georgetown, Greenwood, Lancaster, Laurens, Orangeburg, Pickens, Richland, Sumter)"
"Carex styloflexa","bent sedge","SC(Allendale, Barnwell, Berkeley, Clarendon, Dorchester, Georgetown, Lancaster, Saluda)"
"Carex superata","Willdenow's sedge","SC(Abbeville, Aiken, Edgefield, Fairfield, Lancaster, McCormick)"
"Carex swanii","Swan's sedge","SC(Pickens)"
"Carex tenax","wire sedge","SC(Aiken, Allendale, Barnwell, Chesterfield, Edgefield, Georgetown, Jasper, Lexington, Marion)"
"Carex texensis","Texas sedge","SC(Abbeville, Aiken, Fairfield, Greenville, Pickens, Spartanburg, York)"
"Carex tonsa","shaved sedge","SC(Pickens)"
"Carex tonsa var. rugosperma","parachute sedge","SC(Pickens)"
"Carex triangularis","eastern fox sedge","SC(Barnwell, Jasper)"
"Carex tribuloides","blunt broom sedge","SC(Aiken, Anderson, Chester, Chesterfield, Dorchester, Kershaw, Lancaster, Lee, McCormick, Spartanburg, Sumter)"
"Carex tribuloides var. tribuloides","blunt broom sedge","SC(Lancaster)"
"Carex turgescens","pine barren sedge","SC(Chesterfield, Kershaw, Lexington)"
"Carex typhina","cattail sedge","SC(Abbeville, Aiken, Barnwell, Chesterfield, Darlington, Jasper, Kershaw, Lancaster, Lee, Sumter)"
"Carex umbellata","parasol sedge","SC(Darlington, Fairfield)"
"Carex venusta","darkgreen sedge","SC(Aiken, Allendale, Barnwell, Calhoun, Chesterfield, Georgetown, Greenville, Kershaw, Lancaster, Lee, Williamsburg)"
"Carex verrucosa","warty sedge","SC(Allendale, Dorchester, Horry, Orangeburg, Williamsburg)"
"Carex virescens","ribbed sedge","SC(Pickens)"
"Carex vulpinoidea","fox sedge","SC(Abbeville, Bamberg, Barnwell, Chester, Chesterfield, Clarendon, Darlington, Dillon, Fairfield, Georgetown, Greenwood, Kershaw, Lancaster, Laurens, Lexington, Marlboro, Oconee, Richland, Saluda, Spartanburg, Williamsburg, York)"
"Carex vulpinoidea var. vulpinoidea","fox sedge","SC(Abbeville, Bamberg, Barnwell, Chester, Chesterfield, Clarendon, Darlington, Dillon, Fairfield, Georgetown, Greenwood, Kershaw, Lancaster, Laurens, Lexington, Marlboro, Oconee, Richland, Saluda, Spartanburg, Williamsburg, York)"
"Carex willdenowii","Willdenow's sedge","SC(Abbeville, Aiken, Lancaster, York)"
"Carphephorus","chaffhead","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, Orangeburg, Richland, Sumter, Williamsburg)"
"Carphephorus bellidifolius","sandywoods chaffhead","SC(Aiken, Allendale, Barnwell, Calhoun, Chesterfield, Darlington, Dillon, Edgefield, Georgetown, Horry, Kershaw, Lancaster, Lee, Lexington, Marion, Orangeburg, Richland, Sumter)"
"Carphephorus odoratissimus","vanillaleaf","SC(Allendale, Beaufort, Berkeley, Charleston, Chesterfield, Colleton, Dorchester, Hampton, Jasper)"
"Carphephorus paniculatus","hairy chaffhead","SC(Allendale, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Marion, Marlboro, Orangeburg, Sumter, Williamsburg)"
"Carphephorus tomentosus","woolly chaffhead","SC(Berkeley, Chesterfield, Clarendon, Darlington, Dillon, Georgetown, Marlboro, Sumter, Williamsburg)"
"Carpinus","hornbeam","SC(Abbeville, Aiken, Allendale, Anderson, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Marion, Newberry, Oconee, Pickens, Richland, Spartanburg, Union, Williamsburg, York)"
"Carpinus caroliniana","American hornbeam","SC(Abbeville, Aiken, Allendale, Anderson, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Marion, Newberry, Oconee, Pickens, Richland, Spartanburg, Union, Williamsburg, York)"
"Carya","hybrid hickory","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Carya aquatica","water hickory","SC(Abbeville, Allendale, Barnwell, Berkeley, Charleston, Clarendon, Colleton, Darlington, Dorchester, Georgetown, Greenwood, Hampton, Lee, Lexington, Marion, Orangeburg, Sumter)"
"Carya carolinae-septentrionalis","southern shagbark hickory","SC(Abbeville, Chester, Darlington, Florence, Greenwood, Lancaster, Laurens, McCormick, Newberry, Spartanburg, York)"
"Carya cordiformis","bitternut hickory","SC(Anderson, Bamberg, Calhoun, Charleston, Cherokee, Chesterfield, Darlington, Dorchester, Greenwood, Hampton, Jasper, Kershaw, Lancaster, Newberry, Oconee, Pickens, Richland, Williamsburg, York)"
"Carya glabra","pignut hickory","SC(Abbeville, Aiken, Allendale, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Darlington, Fairfield, Georgetown, Greenville, Greenwood, Horry, Lancaster, Laurens, Marion, McCormick, Orangeburg, Pickens, Saluda, Union, Williamsburg, York)"
"Carya illinoinensis","pecan","SC(Beaufort, Charleston, Newberry, York)"
"Carya myristiciformis","nutmeg hickory","SC(Berkeley, Charleston)"
"Carya ovalis","red hickory","SC(Cherokee, Colleton, Darlington, Dorchester, Georgetown, Horry, Jasper, Lancaster)"
"Carya ovata","shagbark hickory","SC(McCormick, Newberry, Richland, York)"
"Carya pallida","sand hickory","SC(Abbeville, Barnwell, Calhoun, Charleston, Cherokee, Darlington, Dillon, Edgefield, Greenville, Hampton, Horry, Lancaster, Marion, Marlboro, Oconee, Orangeburg)"
"Carya tomentosa","mockernut hickory","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Marion, Marlboro, McCormick, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, York)"
"Castanea","chestnut","SC(Abbeville, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Dorchester, Edgefield, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Oconee, Orangeburg, Pickens, Sumter, Union, York)"
"Castanea dentata","American chestnut","SC(Abbeville, Cherokee, Greenville, Lancaster, Pickens, York)"
"Castanea pumila","chinquapin","SC(Abbeville, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chester, Chesterfield, Clarendon, Colleton, Dorchester, Edgefield, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Oconee, Orangeburg, Pickens, Sumter, Union)"
"Castanea pumila var. pumila","chinquapin","SC(Abbeville, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chester, Chesterfield, Clarendon, Colleton, Dorchester, Edgefield, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Oconee, Orangeburg, Pickens, Sumter, Union)"
"Castilleja","Indian paintbrush","SC(Pickens, Williamsburg)"
"Castilleja coccinea","scarlet Indian paintbrush","SC(Pickens, Williamsburg)"
"Catalpa","catalpa","SC(Charleston, Chester, Chesterfield, Colleton, Darlington, Edgefield, Florence, Greenwood, Lexington, Oconee, Pickens, Richland, Saluda, Sumter, Union)"
"Catalpa bignonioides","southern catalpa","SC(Charleston, Colleton, Darlington, Oconee)"
"Catalpa speciosa","northern catalpa","SC(Charleston, Chester, Chesterfield, Edgefield, Florence, Greenwood, Lexington, Pickens, Richland, Saluda, Sumter, Union)"
"Catharanthus","periwinkle","SC(Charleston)"
"Catharanthus roseus","Madagascar periwinkle","SC(Charleston)"
"Caulophyllum","cohosh","SC(Lancaster)"
"Caulophyllum thalictroides","blue cohosh","SC(Lancaster)"
"Cayaponia","melonleaf","SC(Aiken, Allendale, Barnwell, Darlington, Fairfield, Lexington, Richland, Sumter)"
"Cayaponia quinqueloba","fivelobe cucumber","SC(Aiken, Allendale, Barnwell, Darlington, Fairfield, Lexington, Richland, Sumter)"
"Ceanothus","ceanothus","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Ceanothus americanus","New Jersey tea","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Celastrus","bittersweet","SC(Anderson)"
"Celastrus scandens","American bittersweet","SC(Anderson)"
"Celtis","hackberry","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Darlington, Dorchester, Edgefield, Fairfield, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Celtis laevigata","sugarberry","SC(Aiken, Allendale, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chesterfield, Darlington, Dorchester, Edgefield, Georgetown, Greenwood, Horry, Jasper, Lancaster, Laurens, Lexington, Newberry, Oconee, Orangeburg, Richland, Sumter, Union)"
"Celtis laevigata var. laevigata","sugarberry","SC(Aiken, Allendale, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chesterfield, Darlington, Dorchester, Edgefield, Georgetown, Greenwood, Horry, Jasper, Lancaster, Laurens, Lexington, Newberry, Oconee, Orangeburg, Richland, Sumter, Union)"
"Celtis pumila","dwarf hackberry","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Calhoun, Cherokee, Chester, Darlington, Edgefield, Fairfield, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, McCormick, Newberry, Orangeburg, Saluda, Spartanburg, Sumter, York)"
"Cenchrus","sandbur","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Colleton, Edgefield, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lexington, Marion, Marlboro, McCormick, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union)"
"Cenchrus echinatus","southern sandbur","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Colleton, Florence, Georgetown, Hampton, Jasper, Kershaw, McCormick, Orangeburg, Richland, Saluda, Sumter)"
"Cenchrus longispinus","mat sandbur","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Charleston, Cherokee, Chesterfield, Edgefield, Florence, Georgetown, Kershaw, Lexington, Marion, Marlboro, Orangeburg, Richland, Spartanburg, Sumter)"
"Cenchrus myosuroides","big sandbur","SC(Barnwell)"
"Cenchrus spinifex","coastal sandbur","SC(Aiken, Chesterfield, Colleton, Edgefield, Fairfield, Union)"
"Cenchrus tribuloides","sanddune sandbur","SC(Beaufort, Charleston, Georgetown, Horry)"
"Centaurea","knapweed","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Cherokee, Chester, Chesterfield, Dillon, Edgefield, Fairfield, Florence, Greenwood, Laurens, Lexington, Marion, Marlboro, McCormick, Newberry, Orangeburg, Richland, Spartanburg, Union, York)"
"Centaurea cyanus","garden cornflower","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Cherokee, Chester, Chesterfield, Dillon, Edgefield, Fairfield, Florence, Greenwood, Laurens, Lexington, Marion, Marlboro, McCormick, Newberry, Orangeburg, Richland, Spartanburg, Union, York)"
"Centaurea solstitialis","yellow star-thistle","SC(Lexington)"
"Centaurea stoebe","spotted knapweed","SC(Greenwood)"
"Centaurea stoebe ssp. micranthos","spotted knapweed","SC(Greenwood)"
"Centella","centella","SC(Aiken, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Georgetown, Horry, Jasper, Lancaster, Orangeburg, Sumter, Williamsburg)"
"Centella erecta","erect centella","SC(Aiken, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Georgetown, Horry, Jasper, Lancaster, Orangeburg, Sumter, Williamsburg)"
"Centrosema","butterfly pea","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Darlington, Edgefield, Fairfield, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Union, Williamsburg, York)"
"Centrosema virginianum","spurred butterfly pea","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Darlington, Edgefield, Fairfield, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Union, Williamsburg, York)"
