"","",""
"Abelia","abelia","FL(Franklin)"
"Aristida tuberculosa","seaside threeawn","FL(Franklin, Holmes, Okaloosa, Taylor)"
"Aristolochia","dutchman's pipe","FL(Alachua, Bay, Brevard, Broward, Calhoun, Citrus, Clay, Columbia, DeSoto, Duval, Escambia, Gadsden, Gilchrist, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Lafayette, Lake, Leon, Levy, Liberty, Marion, Miami-Dade, Monroe, Okaloosa, Orange, Pasco, Polk, Putnam, Santa Rosa, Seminole, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Aristolochia elegans","elegant dutchman's pipe","FL(Alachua, Broward, Hardee, Highlands, Hillsborough, Lake, Marion, Orange, Pasco, Polk, Seminole, Volusia)"
"Aristolochia grandiflora","pelicanflower","FL(Indian River)"
"Aristolochia labiata","mottled dutchman's pipe","FL(Pasco)"
"Aristolochia maxima","Florida dutchman's pipe","FL(Miami-Dade)"
"Aristolochia pentandra","Marsh's dutchman's pipe","FL(Miami-Dade, Monroe)"
"Aristolochia ringens","gaping dutchman's pipe","FL(Miami-Dade)"
"Aristolochia serpentaria","Virginia snakeroot","FL(Alachua, Bay, Brevard, Citrus, Clay, Columbia, DeSoto, Duval, Escambia, Gadsden, Gilchrist, Hernando, Highlands, Hillsborough, Jackson, Lafayette, Lake, Leon, Levy, Liberty, Marion, Monroe, Okaloosa, Orange, Pasco, Polk, Putnam, Suwannee, Taylor, Volusia, Wakulla, Walton)"
"Aristolochia tomentosa","woolly dutchman's pipe","FL(Bay, Calhoun, Escambia, Gadsden, Holmes, Jackson, Liberty, Santa Rosa, Washington)"
"Arnica","arnica","FL(Jackson, Liberty)"
"Arnica acaulis","common leopardbane","FL(Jackson, Liberty)"
"Arnoglossum","Indian plantain","FL(Alachua, Bay, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Arnoglossum album","Bay County Indian plantain","FL(Bay, Gulf)"
"Arnoglossum atriplicifolium","pale Indian plantain","FL(Jackson, Liberty)"
"Arnoglossum diversifolium","variableleaf Indian plantain","FL(Calhoun, Holmes, Jackson, Leon, Levy, Putnam, Walton, Washington)"
"Arnoglossum floridanum","Florida cacalia","FL(Alachua, Brevard, Citrus, Clay, Columbia, Dixie, Duval, Gilchrist, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Lake, Levy, Madison, Manatee, Marion, Orange, Osceola, Pasco, Polk, Putnam, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia)"
"Arnoglossum ovatum","ovateleaf cacalia","FL(Alachua, Bay, Calhoun, Charlotte, Citrus, Clay, Collier, DeSoto, Dixie, Duval, Escambia, Flagler, Gadsden, Gulf, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lee, Levy, Liberty, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Palm Beach, Pasco, Polk, Santa Rosa, Sarasota, Sumter, Taylor, Volusia, Wakulla, Walton)"
"Arnoglossum sulcatum","Georgia Indian plantain","FL(Bay, Escambia, Gadsden, Holmes, Jackson, Leon, Liberty, Okaloosa, Santa Rosa, Walton, Washington)"
"Aronia","","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Citrus, Clay, Columbia, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Sumter, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Aronia arbutifolia","red chokeberry","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Citrus, Clay, Columbia, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Sumter, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Artemisia","sagebrush","FL(Escambia, Lake, Miami-Dade, Orange, Osceola, Polk)"
"Artemisia campestris","field sagewort","FL(Lake, Orange, Osceola, Polk)"
"Artemisia campestris ssp. caudata","field sagewort","FL(Lake, Orange, Osceola, Polk)"
"Artemisia ludoviciana","white sagebrush","FL(Escambia)"
"Artemisia stelleriana","oldwoman","FL(Miami-Dade)"
"Arthraxon","carpetgrass","FL(Gadsden)"
"Arthraxon hispidus","small carpetgrass","FL(Gadsden)"
"Arundinaria","cane","FL(Alachua, Calhoun, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Hamilton, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Orange, Osceola, Polk, Santa Rosa, Seminole, Sumter, Taylor, Volusia, Wakulla, Walton)"
"Arundinaria gigantea","giant cane","FL(Alachua, Calhoun, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Hamilton, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Orange, Osceola, Santa Rosa, Seminole, Sumter, Taylor, Volusia, Wakulla, Walton)"
"Arundinaria tecta","switchcane","FL(Calhoun, Duval, Polk)"
"Arundo","giant reed","FL(Alachua, Brevard, Citrus, Collier, Columbia, Escambia, Franklin, Hernando, Highlands, Hillsborough, Lake, Lee, Leon, Marion, Miami-Dade, Monroe, Nassau, Okaloosa, Polk, Santa Rosa, Seminole, Wakulla)"
"Arundo donax","giant reed","FL(Alachua, Brevard, Citrus, Collier, Columbia, Escambia, Franklin, Hernando, Highlands, Hillsborough, Lake, Lee, Leon, Marion, Miami-Dade, Monroe, Nassau, Okaloosa, Polk, Santa Rosa, Seminole, Wakulla)"
"Asclepias","milkweed","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Asclepias amplexicaulis","clasping milkweed","FL(Alachua, Baker, Bradford, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Hernando, Holmes, Jefferson, Lafayette, Leon, Liberty, Marion, Okaloosa, Polk, Putnam, Wakulla, Walton, Washington)"
"Asclepias cinerea","Carolina milkweed","FL(Alachua, Baker, Bay, Bradford, Calhoun, Clay, Columbia, Dixie, Duval, Franklin, Gadsden, Gulf, Hamilton, Holmes, Jackson, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Putnam, St. Johns, Suwannee, Taylor, Union, Wakulla, Walton, Washington)"
"Asclepias connivens","largeflower milkweed","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Clay, Duval, Franklin, Gadsden, Gulf, Highlands, Hillsborough, Lake, Liberty, Manatee, Miami-Dade, Nassau, Okaloosa, Orange, Pasco, Polk, Santa Rosa, St. Johns, Wakulla, Walton)"
"Asclepias curassavica","bloodflower","FL(Broward, Citrus, DeSoto, Hendry, Lake, Lee, Manatee, Martin, Miami-Dade, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, St. Lucie)"
"Asclepias curtissii","Curtiss' milkweed","FL(Brevard, Broward, Clay, Collier, Flagler, Hardee, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Manatee, Marion, Martin, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Seminole, St. Lucie, Volusia)"
"Asclepias feayi","Florida milkweed","FL(Brevard, Clay, Collier, Glades, Hardee, Highlands, Hillsborough, Indian River, Lake, Manatee, Orange, Osceola, Pasco, Pinellas, Polk, Sarasota)"
"Asclepias humistrata","pinewoods milkweed","FL(Alachua, Baker, Bay, Bradford, Calhoun, Citrus, Clay, Columbia, Dixie, Duval, Escambia, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Jackson, Lafayette, Lake, Leon, Levy, Madison, Manatee, Marion, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton)"
"Asclepias incarnata","swamp milkweed","FL(Alachua, Brevard, Broward, Citrus, Collier, DeSoto, Duval, Flagler, Glades, Highlands, Hillsborough, Lake, Marion, Martin, Miami-Dade, Monroe, Osceola, Palm Beach, Polk, Seminole, Volusia)"
"Asclepias lanceolata","fewflower milkweed","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Dixie, Duval, Escambia, Flagler, Franklin, Glades, Gulf, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Asclepias longifolia","longleaf milkweed","FL(Alachua, Calhoun, Charlotte, Citrus, Collier, Duval, Escambia, Flagler, Franklin, Gulf, Highlands, Hillsborough, Lee, Leon, Liberty, Manatee, Miami-Dade, Monroe, Nassau, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Sumter, Volusia, Wakulla, Walton, Washington)"
"Asclepias michauxii","Michaux's milkweed","FL(Alachua, Baker, Bay, Bradford, Calhoun, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Gulf, Jackson, Liberty, Nassau, Okaloosa, Putnam, Santa Rosa, St. Johns, Walton, Washington)"
"Asclepias obovata","pineland milkweed","FL(Bay, Calhoun, Escambia, Gadsden, Gulf, Holmes, Jackson, Liberty, Okaloosa, Santa Rosa, Walton, Washington)"
"Asclepias pedicellata","savannah milkweed","FL(Alachua, Bay, Bradford, Brevard, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Flagler, Franklin, Glades, Gulf, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Nassau, Okeechobee, Orange, Osceola, Palm Beach, Pinellas, Polk, Putnam, Sarasota, St. Johns, St. Lucie, Sumter, Union, Volusia, Wakulla, Walton)"
"Asclepias perennis","aquatic milkweed","FL(Alachua, Baker, Calhoun, Citrus, Clay, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Hardee, Holmes, Jackson, Jefferson, Lafayette, Lake, Levy, Liberty, Madison, Manatee, Marion, Nassau, Okaloosa, Orange, Osceola, Polk, Putnam, Sarasota, Seminole, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Asclepias rubra","red milkweed","FL(Bay, Escambia, Okaloosa, Santa Rosa, Walton)"
"Asclepias tomentosa","tuba milkweed","FL(Brevard, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Flagler, Franklin, Hernando, Highlands, Hillsborough, Lafayette, Lake, Lee, Leon, Liberty, Marion, Nassau, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Sumter, Taylor, Volusia, Wakulla)"
"Asclepias tuberosa","butterfly milkweed","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Gadsden, Gilchrist, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton)"
"Asclepias variegata","redring milkweed","FL(Calhoun, Gadsden, Hamilton, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Wakulla, Walton)"
"Asclepias verticillata","whorled milkweed","FL(Alachua, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Asclepias viridiflora","green comet milkweed","FL(Gadsden, Jackson)"
"Asclepias viridis","green antelopehorn","FL(Citrus, Gadsden, Hernando, Lake, Levy, Liberty, Miami-Dade, Monroe, Sumter)"
"Asclepias viridula","southern milkweed","FL(Baker, Bay, Bradford, Clay, Duval, Flagler, Franklin, Gulf, Liberty, Nassau, St. Johns, Wakulla, Walton, Washington)"
"Asimina","pawpaw","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Asimina ×nashii","pawpaw","FL(Alachua, Columbia, Hamilton, Lafayette, Levy, Madison, Marion, Putnam, Suwannee)"
"Asimina angustifolia","slimleaf pawpaw","FL(Alachua, Baker, Bay, Bradford, Calhoun, Columbia, Dixie, Franklin, Gadsden, Gilchrist, Hamilton, Hernando, Holmes, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Pasco, Putnam, Suwannee, Taylor, Union, Wakulla, Walton, Washington)"
"Asimina incana","woolly pawpaw","FL(Alachua, Baker, Bradford, Citrus, Clay, Columbia, Duval, Flagler, Gadsden, Gilchrist, Hamilton, Lafayette, Lee, Levy, Madison, Marion, Nassau, Polk, Putnam, Sarasota, St. Johns, Suwannee, Union, Volusia)"
"Asimina obovata","bigflower pawpaw","FL(Alachua, Brevard, Citrus, Clay, Flagler, Glades, Hernando, Highlands, Hillsborough, Indian River, Lake, Levy, Manatee, Marion, Orange, Osceola, Pasco, Polk, Putnam, St. Lucie, Sumter, Volusia)"
"Asimina parviflora","smallflower pawpaw","FL(Alachua, Baker, Bay, Brevard, Citrus, Clay, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gulf, Hardee, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Manatee, Marion, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Asimina pygmea","dwarf pawpaw","FL(Alachua, Baker, Bradford, Brevard, Citrus, Clay, Columbia, Dixie, Duval, Flagler, Gilchrist, Hernando, Lake, Levy, Madison, Manatee, Marion, Nassau, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Seminole, St. Johns, Sumter, Taylor, Union, Volusia)"
"Asimina reticulata","netted pawpaw","FL(Alachua, Bradford, Brevard, Broward, Charlotte, Citrus, Collier, DeSoto, Flagler, Glades, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Manatee, Marion, Martin, Miami-Dade, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Lucie, Sumter, Volusia)"
"Asimina tetramera","fourpetal pawpaw","FL(Martin, Palm Beach)"
"Asimina triloba","pawpaw","FL(Gadsden, Jackson, Liberty, Washington)"
"Asparagus","asparagus","FL(Alachua, Brevard, Broward, Escambia, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Leon, Levy, Manatee, Marion, Monroe, Nassau, Okaloosa, Orange, Pasco, Pinellas, Polk, Seminole, St. Johns, Volusia, Wakulla)"
"Asparagus aethiopicus","Sprenger's asparagus fern","FL(Broward, Hillsborough, Lee, Manatee, Monroe, Nassau, Okaloosa, Pinellas, Polk, Wakulla)"
"Asparagus officinalis","garden asparagus","FL(Alachua, Escambia, Monroe)"
"Asparagus setaceus","common asparagus fern","FL(Brevard, Broward, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Leon, Levy, Manatee, Marion, Orange, Pasco, Pinellas, Polk, Seminole, St. Johns, Volusia)"
"Asplenium","spleenwort","FL(Alachua, Baker, Bay, Brevard, Broward, Citrus, Clay, Collier, Columbia, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Marion, Miami-Dade, Nassau, Okaloosa, Orange, Palm Beach, Pasco, Polk, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Asplenium ×biscaynianum","spleenwort","FL(Miami-Dade)"
"Asplenium ×curtissii","spleenwort","FL(Alachua, Citrus, Hernando, Marion, Sumter)"
"Asplenium ×heteroresiliens","spleenwort","FL(Alachua, Citrus, Columbia, Gadsden, Jackson, Levy, Marion, Washington)"
"Asplenium abscissum","cutleaf spleenwort","FL(Alachua, Broward, Citrus, Hernando, Marion, Miami-Dade, Sumter)"
"Asplenium cristatum","parsley spleenwort","FL(Alachua, Citrus, Hernando, Sumter)"
"Asplenium erosum","eared spleenwort","FL(Citrus, Collier, Flagler, Hernando, Hillsborough, Pasco, Sumter, Volusia)"
"Asplenium heterochroum","bicolored spleenwort","FL(Alachua, Citrus, Columbia, Hernando, Jackson, Lafayette, Marion, Sumter, Washington)"
"Asplenium monanthes","singlesorus spleenwort","FL(Alachua, Jackson)"
"Asplenium platyneuron","ebony spleenwort","FL(Alachua, Baker, Bay, Brevard, Citrus, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Marion, Miami-Dade, Okaloosa, Pasco, Polk, Santa Rosa, Seminole, Sumter, Suwannee, Volusia, Wakulla, Walton, Washington)"
"Asplenium platyneuron var. bacculum-rubrum","ebony spleenwort","FL(Alachua, Baker, Bay, Brevard, Citrus, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Marion, Miami-Dade, Okaloosa, Pasco, Polk, Santa Rosa, Seminole, Sumter, Suwannee, Volusia, Wakulla, Walton, Washington)"
"Asplenium plenum","ruffled spleenwort","FL(Alachua, Citrus, Sumter)"
"Asplenium pumilum","dwarf spleenwort","FL(Alachua, Citrus, Hernando, Marion, Volusia)"
"Asplenium resiliens","blackstem spleenwort","FL(Gadsden, Suwannee)"
"Asplenium serratum","wild birdnest fern","FL(Broward, Collier, Lee, Miami-Dade, Volusia)"
"Asplenium trichomanes","maidenhair spleenwort","FL(Nassau)"
"Asplenium trichomanes ssp. trichomanes","maidenhair spleenwort","FL(Nassau)"
"Asplenium trichomanes-dentatum","toothed spleenwort","FL(Broward, Miami-Dade, Palm Beach, Volusia)"
"Asplenium verecundum","limestone spleenwort","FL(Alachua, Citrus, Columbia, Gilchrist, Hernando, Jackson, Liberty, Marion, Miami-Dade, Orange, Sumter, Taylor)"
"Astragalus","milkvetch","FL(Alachua, Baker, Bay, Calhoun, Citrus, Clay, Columbia, Dixie, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Hamilton, Hernando, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Marion, Okaloosa, Pasco, Pinellas, Polk, Putnam, Santa Rosa, St. Johns, Suwannee, Taylor, Volusia, Walton, Washington)"
"Astragalus michauxii","sandhills milkvetch","FL(Polk)"
"Astragalus obcordatus","Florida milkvetch","FL(Alachua, Bay, Calhoun, Citrus, Clay, Flagler, Franklin, Gadsden, Jefferson, Lake, Leon, Levy, Liberty, Pasco, Pinellas, Polk, Putnam, St. Johns, Suwannee, Taylor, Volusia, Washington)"
"Astragalus villosus","bearded milkvetch","FL(Alachua, Baker, Citrus, Clay, Columbia, Dixie, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Hernando, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Marion, Okaloosa, Santa Rosa, Suwannee, Taylor, Walton, Washington)"
"Asystasia","asystasia","FL(Broward, Highlands, Hillsborough, Martin, Miami-Dade, Monroe, Okeechobee, Palm Beach, Pinellas)"
"Asystasia gangetica","Chinese violet","FL(Broward, Highlands, Hillsborough, Martin, Miami-Dade, Monroe, Okeechobee, Palm Beach, Pinellas)"
"Athyrium","ladyfern","FL(Alachua, Calhoun, Clay, Columbia, Escambia, Gadsden, Hamilton, Jackson, Leon, Liberty, Madison, Nassau, Union, Walton)"
"Athyrium filix-femina","common ladyfern","FL(Alachua, Calhoun, Clay, Columbia, Escambia, Gadsden, Hamilton, Jackson, Leon, Liberty, Madison, Nassau, Union, Walton)"
"Athyrium filix-femina ssp. asplenioides","asplenium ladyfern","FL(Alachua, Calhoun, Clay, Columbia, Escambia, Gadsden, Hamilton, Jackson, Leon, Liberty, Madison, Nassau, Union, Walton)"
"Atriplex","saltbush","FL(Bay, Brevard, Broward, Collier, Duval, Escambia, Flagler, Franklin, Lee, Levy, Manatee, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Palm Beach, Pinellas, Santa Rosa, Sarasota, St. Johns, St. Lucie, Taylor, Volusia)"
"Atriplex cristata","crested saltbush","FL(Bay, Brevard, Broward, Collier, Duval, Flagler, Franklin, Lee, Levy, Manatee, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Palm Beach, Pinellas, Santa Rosa, Sarasota, St. Johns, St. Lucie, Taylor, Volusia)"
"Atriplex tatarica","Tatarian orache","FL(Escambia)"
"Aureolaria","false foxglove","FL(Alachua, Bay, Calhoun, Citrus, Clay, Collier, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Hernando, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Manatee, Marion, Okaloosa, Orange, Osceola, Pasco, Polk, Putnam, Santa Rosa, Seminole, Volusia, Wakulla, Walton, Washington)"
"Aureolaria flava","smooth yellow false foxglove","FL(Alachua, Bay, Calhoun, Citrus, Dixie, Escambia, Franklin, Hernando, Holmes, Jackson, Jefferson, Leon, Liberty, Marion, Okaloosa, Pasco, Santa Rosa, Walton)"
"Aureolaria flava var. flava","smooth yellow false foxglove","FL(Alachua, Bay, Calhoun, Citrus, Dixie, Escambia, Franklin, Hernando, Holmes, Jackson, Jefferson, Leon, Liberty, Okaloosa, Pasco, Santa Rosa, Walton)"
"Aureolaria pectinata","combleaf yellow false foxglove","FL(Alachua, Bay, Calhoun, Citrus, Clay, Collier, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Manatee, Marion, Okaloosa, Orange, Osceola, Pasco, Polk, Putnam, Seminole, Volusia, Wakulla, Walton)"
"Aureolaria virginica","downy yellow false foxglove","FL(Calhoun, Clay, Gadsden, Holmes, Jackson, Liberty, Walton, Washington)"
"Avena","oat","FL(Alachua, Citrus, Franklin, Hernando, Highlands, Hillsborough, Jefferson, Lake, Leon, Marion, Miami-Dade, Monroe, Okaloosa, Volusia, Wakulla, Walton)"
"Avena sativa","common oat","FL(Alachua, Citrus, Franklin, Hernando, Highlands, Hillsborough, Jefferson, Lake, Leon, Marion, Miami-Dade, Monroe, Okaloosa, Volusia, Wakulla, Walton)"
"Avicennia","mangrove","FL(Brevard, Broward, Charlotte, Citrus, Collier, Flagler, Franklin, Hernando, Indian River, Lee, Levy, Manatee, Martin, Miami-Dade, Monroe, Pasco, Pinellas, Sarasota, St. Johns, St. Lucie, Taylor, Volusia)"
"Avicennia germinans","black mangrove","FL(Brevard, Broward, Charlotte, Citrus, Collier, Flagler, Franklin, Hernando, Indian River, Lee, Levy, Manatee, Martin, Miami-Dade, Monroe, Pasco, Pinellas, Sarasota, St. Johns, St. Lucie, Taylor, Volusia)"
"Axonopus","carpetgrass","FL(Alachua, Baker, Bay, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Jackson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton)"
"Axonopus compressus","broadleaf carpetgrass","FL(Alachua, Broward, Escambia, Glades, Hardee, Highlands, Hillsborough, Lake, Lee, Levy, Manatee, Orange, Osceola, Polk, Sarasota)"
"Axonopus fissifolius","common carpetgrass","FL(Alachua, Baker, Bay, Brevard, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Hamilton, Hendry, Hernando, Jackson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, St. Johns, St. Lucie, Sumter, Union, Wakulla, Walton)"
"Axonopus furcatus","big carpetgrass","FL(Alachua, Baker, Charlotte, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hendry, Hernando, Highlands, Hillsborough, Jackson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okeechobee, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla)"
"Ayenia","ayenia","FL(Miami-Dade, Monroe, Palm Beach)"
